Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.024000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,150000000
Stop Frequency,250000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,196.000000 MHz,-51.42 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
173200000.000000,-65.11,,,
173333333.000000,-64.96,,,
173466667.000000,-64.86,,,
173600000.000000,-64.55,,,
173733333.000000,-64.51,,,
173866667.000000,-64.25,,,
174000000.000000,-64.16,,,
174133333.000000,-63.78,,,
174266667.000000,-63.81,,,
174400000.000000,-63.47,,,
174533333.000000,-63.44,,,
174666667.000000,-63.22,,,
174800000.000000,-63.11,,,
174933333.000000,-62.94,,,
175066667.000000,-62.78,,,
175200000.000000,-62.55,,,
175333333.000000,-62.47,,,
175466667.000000,-62.34,,,
175600000.000000,-62.15,,,
175733333.000000,-61.97,,,
175866667.000000,-61.89,,,
176000000.000000,-61.78,,,
176133333.000000,-61.55,,,
176266667.000000,-61.46,,,
176400000.000000,-61.31,,,
176533333.000000,-61.26,,,
176666667.000000,-61.06,,,
176800000.000000,-60.89,,,
176933333.000000,-60.87,,,
177066667.000000,-60.88,,,
177200000.000000,-60.68,,,
177333333.000000,-60.60,,,
177466667.000000,-60.62,,,
177600000.000000,-60.39,,,
177733333.000000,-60.33,,,
177866667.000000,-60.24,,,
178000000.000000,-60.21,,,
178133333.000000,-60.15,,,
178266667.000000,-60.02,,,
178400000.000000,-60.04,,,
178533333.000000,-59.91,,,
178666667.000000,-59.86,,,
178800000.000000,-59.87,,,
178933333.000000,-59.84,,,
179066667.000000,-59.66,,,
179200000.000000,-59.61,,,
179333333.000000,-59.61,,,
179466667.000000,-59.57,,,
179600000.000000,-59.66,,,
179733333.000000,-59.59,,,
179866667.000000,-59.51,,,
180000000.000000,-59.46,,,
180133333.000000,-59.50,,,
180266667.000000,-59.50,,,
180400000.000000,-59.46,,,
180533333.000000,-59.45,,,
180666667.000000,-59.41,,,
180800000.000000,-59.46,,,
180933333.000000,-59.51,,,
181066667.000000,-59.48,,,
181200000.000000,-59.54,,,
181333333.000000,-59.46,,,
181466667.000000,-59.49,,,
181600000.000000,-59.52,,,
181733333.000000,-59.47,,,
181866667.000000,-59.47,,,
182000000.000000,-59.58,,,
182133333.000000,-59.54,,,
182266667.000000,-59.54,,,
182400000.000000,-59.65,,,
182533333.000000,-59.58,,,
182666667.000000,-59.60,,,
182800000.000000,-59.61,,,
182933333.000000,-59.52,,,
183066667.000000,-59.67,,,
183200000.000000,-59.69,,,
183333333.000000,-59.72,,,
183466667.000000,-59.68,,,
183600000.000000,-59.71,,,
183733333.000000,-59.74,,,
183866667.000000,-59.69,,,
184000000.000000,-59.71,,,
184133333.000000,-59.67,,,
184266667.000000,-59.65,,,
184400000.000000,-59.62,,,
184533333.000000,-59.74,,,
184666667.000000,-59.66,,,
184800000.000000,-59.72,,,
184933333.000000,-59.63,,,
185066667.000000,-59.57,,,
185200000.000000,-59.63,,,
185333333.000000,-59.65,,,
185466667.000000,-59.53,,,
185600000.000000,-59.51,,,
185733333.000000,-59.49,,,
185866667.000000,-59.43,,,
186000000.000000,-59.42,,,
186133333.000000,-59.37,,,
186266667.000000,-59.25,,,
186400000.000000,-59.22,,,
186533333.000000,-59.14,,,
186666667.000000,-59.09,,,
186800000.000000,-59.02,,,
186933333.000000,-58.87,,,
187066667.000000,-58.79,,,
187200000.000000,-58.77,,,
187333333.000000,-58.67,,,
187466667.000000,-58.65,,,
187600000.000000,-58.45,,,
187733333.000000,-58.43,,,
187866667.000000,-58.27,,,
188000000.000000,-58.04,,,
188133333.000000,-58.01,,,
188266667.000000,-57.92,,,
188400000.000000,-57.78,,,
188533333.000000,-57.69,,,
188666667.000000,-57.60,,,
188800000.000000,-57.45,,,
188933333.000000,-57.29,,,
189066667.000000,-57.19,,,
189200000.000000,-57.00,,,
189333333.000000,-56.89,,,
189466667.000000,-56.82,,,
189600000.000000,-56.62,,,
189733333.000000,-56.52,,,
189866667.000000,-56.37,,,
190000000.000000,-56.28,,,
190133333.000000,-56.16,,,
190266667.000000,-55.98,,,
190400000.000000,-55.87,,,
190533333.000000,-55.72,,,
190666667.000000,-55.64,,,
190800000.000000,-55.44,,,
190933333.000000,-55.33,,,
191066667.000000,-55.20,,,
191200000.000000,-55.15,,,
191333333.000000,-54.99,,,
191466667.000000,-54.81,,,
191600000.000000,-54.69,,,
191733333.000000,-54.55,,,
191866667.000000,-54.45,,,
192000000.000000,-54.32,,,
192133333.000000,-54.22,,,
192266667.000000,-54.11,,,
192400000.000000,-53.97,,,
192533333.000000,-53.87,,,
192666667.000000,-53.75,,,
192800000.000000,-53.60,,,
192933333.000000,-53.46,,,
193066667.000000,-53.32,,,
193200000.000000,-53.23,,,
193333333.000000,-53.14,,,
193466667.000000,-52.99,,,
193600000.000000,-52.90,,,
193733333.000000,-52.79,,,
193866667.000000,-52.67,,,
194000000.000000,-52.53,,,
194133333.000000,-52.38,,,
194266667.000000,-52.27,,,
194400000.000000,-52.17,,,
194533333.000000,-52.05,,,
194666667.000000,-52.00,,,
194800000.000000,-51.89,,,
194933333.000000,-51.81,,,
195066667.000000,-51.76,,,
195200000.000000,-51.67,,,
195333333.000000,-51.54,,,
195466667.000000,-51.49,,,
195600000.000000,-51.45,,,
195733333.000000,-51.42,,,
195866667.000000,-51.44,,,
196000000.000000,-51.42,,,
196133333.000000,-51.45,,,
196266667.000000,-51.52,,,
196400000.000000,-51.51,,,
196533333.000000,-51.55,,,
196666667.000000,-51.62,,,
196800000.000000,-51.67,,,
196933333.000000,-51.78,,,
197066667.000000,-51.89,,,
197200000.000000,-52.05,,,
197333333.000000,-52.21,,,
197466667.000000,-52.40,,,
197600000.000000,-52.54,,,
197733333.000000,-52.69,,,
197866667.000000,-52.88,,,
198000000.000000,-53.05,,,
198133333.000000,-53.25,,,
198266667.000000,-53.50,,,
198400000.000000,-53.72,,,
198533333.000000,-53.90,,,
198666667.000000,-54.08,,,
198800000.000000,-54.35,,,
198933333.000000,-54.52,,,
199066667.000000,-54.72,,,
199200000.000000,-54.95,,,
199333333.000000,-55.02,,,
199466667.000000,-55.27,,,
199600000.000000,-55.50,,,
199733333.000000,-55.62,,,
199866667.000000,-55.77,,,
200000000.000000,-55.97,,,
200133333.000000,-56.12,,,
200266667.000000,-56.22,,,
200400000.000000,-56.33,,,
200533333.000000,-56.44,,,
200666667.000000,-56.61,,,
200800000.000000,-56.74,,,
200933333.000000,-56.74,,,
201066667.000000,-56.81,,,
201200000.000000,-56.93,,,
201333333.000000,-57.06,,,
201466667.000000,-57.03,,,
201600000.000000,-57.15,,,
201733333.000000,-57.14,,,
201866667.000000,-57.22,,,
202000000.000000,-57.21,,,
202133333.000000,-57.28,,,
202266667.000000,-57.28,,,
202400000.000000,-57.27,,,
202533333.000000,-57.35,,,
202666667.000000,-57.27,,,
202800000.000000,-57.23,,,
202933333.000000,-57.23,,,
203066667.000000,-57.18,,,
203200000.000000,-57.18,,,
203333333.000000,-57.18,,,
203466667.000000,-57.18,,,
203600000.000000,-57.17,,,
203733333.000000,-57.07,,,
203866667.000000,-57.04,,,
204000000.000000,-56.99,,,
204133333.000000,-56.94,,,
204266667.000000,-56.83,,,
204400000.000000,-56.82,,,
204533333.000000,-56.78,,,
204666667.000000,-56.72,,,
204800000.000000,-56.67,,,
204933333.000000,-56.64,,,
205066667.000000,-56.55,,,
205200000.000000,-56.52,,,
205333333.000000,-56.39,,,
205466667.000000,-56.27,,,
205600000.000000,-56.29,,,
205733333.000000,-56.24,,,
205866667.000000,-56.15,,,
206000000.000000,-56.06,,,
206133333.000000,-56.10,,,
206266667.000000,-55.97,,,
206400000.000000,-55.92,,,
206533333.000000,-55.80,,,
206666667.000000,-55.77,,,
206800000.000000,-55.62,,,
206933333.000000,-55.62,,,
207066667.000000,-55.56,,,
207200000.000000,-55.47,,,
207333333.000000,-55.40,,,
207466667.000000,-55.41,,,
207600000.000000,-55.32,,,
207733333.000000,-55.28,,,
207866667.000000,-55.14,,,
208000000.000000,-55.08,,,
208133333.000000,-55.07,,,
208266667.000000,-55.03,,,
208400000.000000,-54.98,,,
208533333.000000,-54.90,,,
208666667.000000,-54.89,,,
208800000.000000,-54.89,,,
208933333.000000,-54.76,,,
209066667.000000,-54.75,,,
209200000.000000,-54.66,,,
209333333.000000,-54.62,,,
209466667.000000,-54.61,,,
209600000.000000,-54.59,,,
209733333.000000,-54.54,,,
209866667.000000,-54.52,,,
210000000.000000,-54.47,,,
210133333.000000,-54.49,,,
210266667.000000,-54.47,,,
210400000.000000,-54.35,,,
210533333.000000,-54.35,,,
210666667.000000,-54.39,,,
210800000.000000,-54.36,,,
210933333.000000,-54.35,,,
211066667.000000,-54.32,,,
211200000.000000,-54.33,,,
211333333.000000,-54.32,,,
211466667.000000,-54.34,,,
211600000.000000,-54.32,,,
211733333.000000,-54.21,,,
211866667.000000,-54.24,,,
212000000.000000,-54.27,,,
212133333.000000,-54.26,,,
212266667.000000,-54.25,,,
212400000.000000,-54.29,,,
212533333.000000,-54.26,,,
212666667.000000,-54.31,,,
212800000.000000,-54.30,,,
212933333.000000,-54.21,,,
213066667.000000,-54.24,,,
213200000.000000,-54.32,,,
213333333.000000,-54.33,,,
213466667.000000,-54.31,,,
213600000.000000,-54.29,,,
213733333.000000,-54.33,,,
213866667.000000,-54.32,,,
214000000.000000,-54.31,,,
214133333.000000,-54.31,,,
214266667.000000,-54.32,,,
214400000.000000,-54.35,,,
214533333.000000,-54.38,,,
214666667.000000,-54.39,,,
214800000.000000,-54.38,,,
214933333.000000,-54.37,,,
215066667.000000,-54.43,,,
215200000.000000,-54.42,,,
215333333.000000,-54.38,,,
215466667.000000,-54.39,,,
215600000.000000,-54.35,,,
215733333.000000,-54.43,,,
215866667.000000,-54.46,,,
216000000.000000,-54.45,,,
216133333.000000,-54.51,,,
216266667.000000,-54.51,,,
216400000.000000,-54.49,,,
216533333.000000,-54.41,,,
216666667.000000,-54.45,,,
216800000.000000,-54.45,,,
216933333.000000,-54.50,,,
217066667.000000,-54.46,,,
217200000.000000,-54.48,,,
217333333.000000,-54.52,,,
217466667.000000,-54.51,,,
217600000.000000,-54.54,,,
217733333.000000,-54.52,,,
217866667.000000,-54.48,,,
218000000.000000,-54.42,,,
218133333.000000,-54.47,,,
218266667.000000,-54.51,,,
218400000.000000,-54.45,,,
218533333.000000,-54.50,,,
218666667.000000,-54.53,,,
218800000.000000,-54.57,,,
218933333.000000,-54.55,,,
219066667.000000,-54.53,,,
219200000.000000,-54.56,,,
219333333.000000,-54.55,,,
219466667.000000,-54.62,,,
219600000.000000,-54.61,,,
219733333.000000,-54.66,,,
219866667.000000,-54.71,,,
220000000.000000,-54.84,,,
220133333.000000,-54.83,,,
220266667.000000,-54.89,,,
220400000.000000,-54.87,,,
220533333.000000,-54.95,,,
220666667.000000,-55.08,,,
220800000.000000,-55.17,,,
220933333.000000,-55.30,,,
221066667.000000,-55.42,,,
221200000.000000,-55.59,,,
221333333.000000,-55.67,,,
221466667.000000,-55.83,,,
221600000.000000,-56.01,,,
221733333.000000,-56.14,,,
221866667.000000,-56.35,,,
222000000.000000,-56.58,,,
222133333.000000,-56.79,,,
222266667.000000,-57.07,,,
222400000.000000,-57.31,,,
222533333.000000,-57.57,,,
222666667.000000,-57.88,,,
222800000.000000,-58.19,,,
222933333.000000,-58.41,,,
223066667.000000,-58.76,,,
223200000.000000,-58.96,,,
223333333.000000,-59.39,,,
223466667.000000,-59.66,,,
223600000.000000,-59.98,,,
223733333.000000,-60.19,,,
223866667.000000,-60.52,,,
224000000.000000,-60.67,,,
224133333.000000,-60.93,,,
224266667.000000,-61.21,,,
224400000.000000,-61.29,,,
224533333.000000,-61.41,,,
224666667.000000,-61.59,,,
224800000.000000,-61.58,,,
224933333.000000,-61.70,,,
225066667.000000,-61.73,,,
225200000.000000,-61.58,,,
225333333.000000,-61.59,,,
225466667.000000,-61.52,,,
225600000.000000,-61.33,,,
225733333.000000,-61.18,,,
225866667.000000,-61.13,,,
226000000.000000,-60.82,,,
226133333.000000,-60.72,,,
226266667.000000,-60.56,,,
226400000.000000,-60.51,,,
226533333.000000,-60.11,,,
226666667.000000,-59.90,,,
226800000.000000,-59.75,,,
226933333.000000,-59.62,,,
227066667.000000,-59.40,,,
227200000.000000,-59.14,,,
227333333.000000,-58.94,,,
227466667.000000,-58.89,,,
227600000.000000,-58.63,,,
227733333.000000,-58.48,,,
227866667.000000,-58.22,,,
228000000.000000,-58.07,,,
228133333.000000,-57.96,,,
228266667.000000,-57.75,,,
228400000.000000,-57.61,,,
228533333.000000,-57.49,,,
228666667.000000,-57.31,,,
228800000.000000,-57.22,,,
228933333.000000,-57.03,,,
229066667.000000,-56.90,,,
229200000.000000,-56.74,,,
229333333.000000,-56.63,,,
229466667.000000,-56.60,,,
229600000.000000,-56.46,,,
229733333.000000,-56.31,,,
229866667.000000,-56.24,,,
230000000.000000,-56.20,,,
230133333.000000,-56.13,,,
230266667.000000,-55.97,,,
230400000.000000,-55.91,,,
230533333.000000,-55.78,,,
230666667.000000,-55.79,,,
230800000.000000,-55.63,,,
230933333.000000,-55.61,,,
231066667.000000,-55.57,,,
231200000.000000,-55.49,,,
231333333.000000,-55.42,,,
231466667.000000,-55.38,,,
231600000.000000,-55.27,,,
231733333.000000,-55.25,,,
231866667.000000,-55.15,,,
232000000.000000,-55.16,,,
232133333.000000,-55.09,,,
232266667.000000,-55.06,,,
232400000.000000,-55.06,,,
232533333.000000,-55.04,,,
232666667.000000,-54.98,,,
232800000.000000,-54.97,,,
232933333.000000,-54.90,,,
233066667.000000,-54.89,,,
233200000.000000,-54.90,,,
233333333.000000,-54.89,,,
233466667.000000,-54.79,,,
233600000.000000,-54.79,,,
233733333.000000,-54.81,,,
233866667.000000,-54.77,,,
234000000.000000,-54.72,,,
234133333.000000,-54.70,,,
234266667.000000,-54.66,,,
234400000.000000,-54.67,,,
234533333.000000,-54.68,,,
234666667.000000,-54.66,,,
234800000.000000,-54.61,,,
234933333.000000,-54.69,,,
235066667.000000,-54.61,,,
235200000.000000,-54.63,,,
235333333.000000,-54.58,,,
235466667.000000,-54.52,,,
235600000.000000,-54.58,,,
235733333.000000,-54.59,,,
235866667.000000,-54.58,,,
236000000.000000,-54.50,,,
236133333.000000,-54.56,,,
236266667.000000,-54.59,,,
236400000.000000,-54.57,,,
236533333.000000,-54.58,,,
236666667.000000,-54.53,,,
236800000.000000,-54.57,,,
236933333.000000,-54.53,,,
237066667.000000,-54.60,,,
237200000.000000,-54.58,,,
237333333.000000,-54.60,,,
237466667.000000,-54.62,,,
237600000.000000,-54.67,,,
237733333.000000,-54.64,,,
237866667.000000,-54.62,,,
238000000.000000,-54.65,,,
238133333.000000,-54.67,,,
238266667.000000,-54.68,,,
238400000.000000,-54.72,,,
238533333.000000,-54.72,,,
238666667.000000,-54.76,,,
238800000.000000,-54.78,,,
238933333.000000,-54.86,,,
239066667.000000,-54.85,,,
239200000.000000,-54.85,,,
239333333.000000,-54.85,,,
239466667.000000,-54.90,,,
239600000.000000,-55.00,,,
239733333.000000,-55.05,,,
239866667.000000,-55.06,,,
240000000.000000,-55.06,,,
240133333.000000,-55.17,,,
240266667.000000,-55.17,,,
240400000.000000,-55.24,,,
240533333.000000,-55.22,,,
240666667.000000,-55.26,,,
240800000.000000,-55.35,,,
240933333.000000,-55.38,,,
241066667.000000,-55.47,,,
241200000.000000,-55.51,,,
241333333.000000,-55.61,,,
241466667.000000,-55.59,,,
241600000.000000,-55.70,,,
241733333.000000,-55.76,,,
241866667.000000,-55.78,,,
242000000.000000,-55.92,,,
242133333.000000,-55.98,,,
242266667.000000,-56.05,,,
242400000.000000,-56.19,,,
242533333.000000,-56.22,,,
242666667.000000,-56.34,,,
242800000.000000,-56.43,,,
242933333.000000,-56.46,,,
243066667.000000,-56.55,,,
243200000.000000,-56.58,,,
243333333.000000,-56.66,,,
243466667.000000,-56.84,,,
243600000.000000,-56.92,,,
243733333.000000,-56.99,,,
243866667.000000,-57.12,,,
244000000.000000,-57.21,,,
244133333.000000,-57.34,,,
244266667.000000,-57.34,,,
244400000.000000,-57.48,,,
244533333.000000,-57.64,,,
244666667.000000,-57.68,,,
244800000.000000,-57.84,,,
244933333.000000,-57.94,,,
245066667.000000,-58.02,,,
245200000.000000,-58.05,,,
245333333.000000,-58.18,,,
245466667.000000,-58.28,,,
245600000.000000,-58.33,,,
245733333.000000,-58.52,,,
245866667.000000,-58.59,,,
246000000.000000,-58.70,,,
246133333.000000,-58.82,,,
246266667.000000,-58.91,,,
246400000.000000,-59.00,,,
246533333.000000,-59.14,,,
246666667.000000,-59.16,,,
246800000.000000,-59.34,,,
246933333.000000,-59.46,,,
247066667.000000,-59.42,,,
247200000.000000,-59.55,,,
247333333.000000,-59.64,,,
247466667.000000,-59.79,,,
247600000.000000,-59.92,,,
247733333.000000,-59.98,,,
247866667.000000,-60.01,,,
248000000.000000,-60.04,,,
248133333.000000,-60.05,,,
248266667.000000,-60.28,,,
248400000.000000,-60.36,,,
248533333.000000,-60.39,,,
248666667.000000,-60.50,,,
248800000.000000,-60.59,,,
248933333.000000,-60.73,,,
249066667.000000,-60.78,,,
249200000.000000,-60.80,,,
249333333.000000,-60.81,,,
249466667.000000,-60.85,,,
249600000.000000,-60.92,,,
249733333.000000,-61.10,,,
249866667.000000,-61.26,,,
250000000.000000,-61.31,,,
