sample_id,frequency_hz,frequency_mhz,amplitude_dbm,liquid_type,source_file,range,is_outlier,amplitude_denoised_dbm,amplitude_smoothed_dbm,amplitude_normalized,band
150-250_CSV0,185733333.0,185.733333,-59.49,Air,CSV0.csv,150-250,False,-59.49,-59.49091206276483,0.1521128415633902,180-220MHz
150-250_CSV0,185866667.0,185.866667,-59.43,Air,CSV0.csv,150-250,False,-59.43,-59.43814972213064,0.15909128630969332,180-220MHz
150-250_CSV0,186000000.0,186.0,-59.42,Air,CSV0.csv,150-250,False,-59.42,-59.39067342268638,0.1653705894726769,180-220MHz
150-250_CSV0,186133333.0,186.133333,-59.37,Air,CSV0.csv,150-250,False,-59.37,-59.33015037593908,0.17337547956146726,180-220MHz
150-250_CSV0,186266667.0,186.266667,-59.25,Air,CSV0.csv,150-250,False,-59.25,-59.27914351095052,0.18012174185245725,180-220MHz
150-250_CSV0,186400000.0,186.4,-59.22,Air,CSV0.csv,150-250,False,-59.22,-59.21340307289886,0.1888166937637447,180-220MHz
150-250_CSV0,186533333.0,186.533333,-59.14,Air,CSV0.csv,150-250,False,-59.14,-59.14360902255562,0.19804778393311073,180-220MHz
150-250_CSV0,186666667.0,186.666667,-59.09,Air,CSV0.csv,150-250,False,-59.09,-59.08119973847585,0.2063021512597339,180-220MHz
150-250_CSV0,186800000.0,186.8,-59.02,Air,CSV0.csv,150-250,False,-59.02,-59.01074861065631,0.21562014771125723,180-220MHz
150-250_CSV0,186933333.0,186.933333,-58.87,Air,CSV0.csv,150-250,False,-58.87,-58.92799607714863,0.22656515082822934,180-220MHz
150-250_CSV0,187066667.0,187.066667,-58.79,Air,CSV0.csv,150-250,False,-58.79,-58.84281464530815,0.23783140453048757,180-220MHz
150-250_CSV0,187200000.0,187.2,-58.77,Air,CSV0.csv,150-250,False,-58.77,-58.752572736187524,0.24976696631621984,180-220MHz
150-250_CSV0,187333333.0,187.333333,-58.67,Air,CSV0.csv,150-250,False,-58.67,-58.65576985943042,0.2625702938148278,180-220MHz
150-250_CSV0,187466667.0,187.466667,-58.65,Air,CSV0.csv,150-250,False,-58.65,-58.56110493625292,0.27509085161925506,180-220MHz
150-250_CSV0,187600000.0,187.6,-58.45,Air,CSV0.csv,150-250,False,-58.45,-58.466475972539286,0.2876066533584903,180-220MHz
150-250_CSV0,187733333.0,187.733333,-58.43,Air,CSV0.csv,150-250,False,-58.43,-58.361804511277434,0.3014506943951635,180-220MHz
