,feature_name,range,frequency_mhz
127,150-250__166.933333MHz,150-250,166.933333
128,150-250__167.066667MHz,150-250,167.066667
129,150-250__167.200000MHz,150-250,167.2
130,150-250__167.333333MHz,150-250,167.333333
131,150-250__167.466667MHz,150-250,167.466667
132,150-250__167.600000MHz,150-250,167.6
133,150-250__167.733333MHz,150-250,167.733333
134,150-250__167.866667MHz,150-250,167.866667
135,150-250__168.000000MHz,150-250,168.0
136,150-250__168.133333MHz,150-250,168.133333
137,150-250__168.266667MHz,150-250,168.266667
138,150-250__168.400000MHz,150-250,168.4
139,150-250__168.533333MHz,150-250,168.533333
140,150-250__168.666667MHz,150-250,168.666667
141,150-250__168.800000MHz,150-250,168.8
142,150-250__168.933333MHz,150-250,168.933333
143,150-250__169.066667MHz,150-250,169.066667
144,150-250__169.200000MHz,150-250,169.2
145,150-250__169.333333MHz,150-250,169.333333
146,150-250__169.466667MHz,150-250,169.466667
147,150-250__169.600000MHz,150-250,169.6
148,150-250__169.733333MHz,150-250,169.733333
149,150-250__169.866667MHz,150-250,169.866667
150,150-250__170.000000MHz,150-250,170.0
151,150-250__170.133333MHz,150-250,170.133333
152,150-250__170.266667MHz,150-250,170.266667
153,150-250__170.400000MHz,150-250,170.4
154,150-250__170.533333MHz,150-250,170.533333
155,150-250__170.666667MHz,150-250,170.666667
156,150-250__170.800000MHz,150-250,170.8
157,150-250__170.933333MHz,150-250,170.933333
158,150-250__171.066667MHz,150-250,171.066667
159,150-250__171.200000MHz,150-250,171.2
160,150-250__171.333333MHz,150-250,171.333333
161,150-250__171.466667MHz,150-250,171.466667
162,150-250__171.600000MHz,150-250,171.6
163,150-250__171.733333MHz,150-250,171.733333
164,150-250__171.866667MHz,150-250,171.866667
165,150-250__172.000000MHz,150-250,172.0
166,150-250__172.133333MHz,150-250,172.133333
167,150-250__172.266667MHz,150-250,172.266667
168,150-250__172.400000MHz,150-250,172.4
169,150-250__172.533333MHz,150-250,172.533333
170,150-250__172.666667MHz,150-250,172.666667
171,150-250__172.800000MHz,150-250,172.8
172,150-250__172.933333MHz,150-250,172.933333
173,150-250__173.066667MHz,150-250,173.066667
174,150-250__173.200000MHz,150-250,173.2
175,150-250__173.333333MHz,150-250,173.333333
176,150-250__173.466667MHz,150-250,173.466667
177,150-250__173.600000MHz,150-250,173.6
178,150-250__173.733333MHz,150-250,173.733333
179,150-250__173.866667MHz,150-250,173.866667
180,150-250__174.000000MHz,150-250,174.0
181,150-250__174.133333MHz,150-250,174.133333
182,150-250__174.266667MHz,150-250,174.266667
183,150-250__174.400000MHz,150-250,174.4
184,150-250__174.533333MHz,150-250,174.533333
185,150-250__174.666667MHz,150-250,174.666667
186,150-250__174.800000MHz,150-250,174.8
187,150-250__174.933333MHz,150-250,174.933333
188,150-250__175.066667MHz,150-250,175.066667
189,150-250__175.200000MHz,150-250,175.2
190,150-250__175.333333MHz,150-250,175.333333
191,150-250__175.466667MHz,150-250,175.466667
192,150-250__175.600000MHz,150-250,175.6
193,150-250__175.733333MHz,150-250,175.733333
194,150-250__175.866667MHz,150-250,175.866667
195,150-250__176.000000MHz,150-250,176.0
196,150-250__176.133333MHz,150-250,176.133333
197,150-250__176.266667MHz,150-250,176.266667
198,150-250__176.400000MHz,150-250,176.4
199,150-250__176.533333MHz,150-250,176.533333
200,150-250__176.666667MHz,150-250,176.666667
201,150-250__176.800000MHz,150-250,176.8
202,150-250__176.933333MHz,150-250,176.933333
203,150-250__177.066667MHz,150-250,177.066667
204,150-250__177.200000MHz,150-250,177.2
205,150-250__177.333333MHz,150-250,177.333333
206,150-250__177.466667MHz,150-250,177.466667
207,150-250__177.600000MHz,150-250,177.6
208,150-250__177.733333MHz,150-250,177.733333
209,150-250__177.866667MHz,150-250,177.866667
210,150-250__178.000000MHz,150-250,178.0
211,150-250__178.133333MHz,150-250,178.133333
212,150-250__178.266667MHz,150-250,178.266667
213,150-250__178.400000MHz,150-250,178.4
214,150-250__178.533333MHz,150-250,178.533333
215,150-250__178.666667MHz,150-250,178.666667
216,150-250__178.800000MHz,150-250,178.8
217,150-250__178.933333MHz,150-250,178.933333
218,150-250__179.066667MHz,150-250,179.066667
219,150-250__179.200000MHz,150-250,179.2
220,150-250__179.333333MHz,150-250,179.333333
221,150-250__179.466667MHz,150-250,179.466667
222,150-250__179.600000MHz,150-250,179.6
223,150-250__179.733333MHz,150-250,179.733333
224,150-250__179.866667MHz,150-250,179.866667
225,150-250__180.000000MHz,150-250,180.0
226,150-250__180.133333MHz,150-250,180.133333
227,150-250__180.266667MHz,150-250,180.266667
228,150-250__180.400000MHz,150-250,180.4
229,150-250__180.533333MHz,150-250,180.533333
230,150-250__180.666667MHz,150-250,180.666667
231,150-250__180.800000MHz,150-250,180.8
232,150-250__180.933333MHz,150-250,180.933333
233,150-250__181.066667MHz,150-250,181.066667
234,150-250__181.200000MHz,150-250,181.2
235,150-250__181.333333MHz,150-250,181.333333
236,150-250__181.466667MHz,150-250,181.466667
237,150-250__181.600000MHz,150-250,181.6
238,150-250__181.733333MHz,150-250,181.733333
239,150-250__181.866667MHz,150-250,181.866667
240,150-250__182.000000MHz,150-250,182.0
241,150-250__182.133333MHz,150-250,182.133333
242,150-250__182.266667MHz,150-250,182.266667
243,150-250__182.400000MHz,150-250,182.4
244,150-250__182.533333MHz,150-250,182.533333
245,150-250__182.666667MHz,150-250,182.666667
246,150-250__182.800000MHz,150-250,182.8
247,150-250__182.933333MHz,150-250,182.933333
248,150-250__183.066667MHz,150-250,183.066667
249,150-250__183.200000MHz,150-250,183.2
250,150-250__183.333333MHz,150-250,183.333333
251,150-250__183.466667MHz,150-250,183.466667
252,150-250__183.600000MHz,150-250,183.6
253,150-250__183.733333MHz,150-250,183.733333
254,150-250__183.866667MHz,150-250,183.866667
255,150-250__184.000000MHz,150-250,184.0
256,150-250__184.133333MHz,150-250,184.133333
257,150-250__184.266667MHz,150-250,184.266667
258,150-250__184.400000MHz,150-250,184.4
259,150-250__184.533333MHz,150-250,184.533333
260,150-250__184.666667MHz,150-250,184.666667
261,150-250__184.800000MHz,150-250,184.8
262,150-250__184.933333MHz,150-250,184.933333
263,150-250__185.066667MHz,150-250,185.066667
264,150-250__185.200000MHz,150-250,185.2
265,150-250__185.333333MHz,150-250,185.333333
266,150-250__185.466667MHz,150-250,185.466667
267,150-250__185.600000MHz,150-250,185.6
268,150-250__185.733333MHz,150-250,185.733333
269,150-250__185.866667MHz,150-250,185.866667
270,150-250__186.000000MHz,150-250,186.0
271,150-250__186.133333MHz,150-250,186.133333
272,150-250__186.266667MHz,150-250,186.266667
273,150-250__186.400000MHz,150-250,186.4
274,150-250__186.533333MHz,150-250,186.533333
275,150-250__186.666667MHz,150-250,186.666667
276,150-250__186.800000MHz,150-250,186.8
277,150-250__186.933333MHz,150-250,186.933333
278,150-250__187.066667MHz,150-250,187.066667
279,150-250__187.200000MHz,150-250,187.2
280,150-250__187.333333MHz,150-250,187.333333
281,150-250__187.466667MHz,150-250,187.466667
282,150-250__187.600000MHz,150-250,187.6
283,150-250__187.733333MHz,150-250,187.733333
284,150-250__187.866667MHz,150-250,187.866667
285,150-250__188.000000MHz,150-250,188.0
286,150-250__188.133333MHz,150-250,188.133333
287,150-250__188.266667MHz,150-250,188.266667
288,150-250__188.400000MHz,150-250,188.4
289,150-250__188.533333MHz,150-250,188.533333
290,150-250__188.666667MHz,150-250,188.666667
291,150-250__188.800000MHz,150-250,188.8
292,150-250__188.933333MHz,150-250,188.933333
293,150-250__189.066667MHz,150-250,189.066667
294,150-250__189.200000MHz,150-250,189.2
295,150-250__189.333333MHz,150-250,189.333333
296,150-250__189.466667MHz,150-250,189.466667
297,150-250__189.600000MHz,150-250,189.6
298,150-250__189.733333MHz,150-250,189.733333
299,150-250__189.866667MHz,150-250,189.866667
300,150-250__190.000000MHz,150-250,190.0
301,150-250__190.133333MHz,150-250,190.133333
302,150-250__190.266667MHz,150-250,190.266667
303,150-250__190.400000MHz,150-250,190.4
304,150-250__190.533333MHz,150-250,190.533333
305,150-250__190.666667MHz,150-250,190.666667
306,150-250__190.800000MHz,150-250,190.8
307,150-250__190.933333MHz,150-250,190.933333
308,150-250__191.066667MHz,150-250,191.066667
309,150-250__191.200000MHz,150-250,191.2
310,150-250__191.333333MHz,150-250,191.333333
311,150-250__191.466667MHz,150-250,191.466667
312,150-250__191.600000MHz,150-250,191.6
313,150-250__191.733333MHz,150-250,191.733333
314,150-250__191.866667MHz,150-250,191.866667
315,150-250__192.000000MHz,150-250,192.0
316,150-250__192.133333MHz,150-250,192.133333
317,150-250__192.266667MHz,150-250,192.266667
318,150-250__192.400000MHz,150-250,192.4
319,150-250__192.533333MHz,150-250,192.533333
320,150-250__192.666667MHz,150-250,192.666667
321,150-250__192.800000MHz,150-250,192.8
322,150-250__192.933333MHz,150-250,192.933333
323,150-250__193.066667MHz,150-250,193.066667
324,150-250__193.200000MHz,150-250,193.2
325,150-250__193.333333MHz,150-250,193.333333
326,150-250__193.466667MHz,150-250,193.466667
327,150-250__193.600000MHz,150-250,193.6
328,150-250__193.733333MHz,150-250,193.733333
329,150-250__193.866667MHz,150-250,193.866667
330,150-250__194.000000MHz,150-250,194.0
331,150-250__194.133333MHz,150-250,194.133333
332,150-250__194.266667MHz,150-250,194.266667
333,150-250__194.400000MHz,150-250,194.4
334,150-250__194.533333MHz,150-250,194.533333
335,150-250__194.666667MHz,150-250,194.666667
336,150-250__194.800000MHz,150-250,194.8
337,150-250__194.933333MHz,150-250,194.933333
338,150-250__195.066667MHz,150-250,195.066667
339,150-250__195.200000MHz,150-250,195.2
340,150-250__195.333333MHz,150-250,195.333333
341,150-250__195.466667MHz,150-250,195.466667
342,150-250__195.600000MHz,150-250,195.6
343,150-250__195.733333MHz,150-250,195.733333
344,150-250__195.866667MHz,150-250,195.866667
345,150-250__196.000000MHz,150-250,196.0
346,150-250__196.133333MHz,150-250,196.133333
347,150-250__196.266667MHz,150-250,196.266667
348,150-250__196.400000MHz,150-250,196.4
349,150-250__196.533333MHz,150-250,196.533333
350,150-250__196.666667MHz,150-250,196.666667
351,150-250__196.800000MHz,150-250,196.8
352,150-250__196.933333MHz,150-250,196.933333
353,150-250__197.066667MHz,150-250,197.066667
354,150-250__197.200000MHz,150-250,197.2
355,150-250__197.333333MHz,150-250,197.333333
356,150-250__197.466667MHz,150-250,197.466667
357,150-250__197.600000MHz,150-250,197.6
358,150-250__197.733333MHz,150-250,197.733333
359,150-250__197.866667MHz,150-250,197.866667
360,150-250__198.000000MHz,150-250,198.0
361,150-250__198.133333MHz,150-250,198.133333
362,150-250__198.266667MHz,150-250,198.266667
363,150-250__198.400000MHz,150-250,198.4
364,150-250__198.533333MHz,150-250,198.533333
365,150-250__198.666667MHz,150-250,198.666667
366,150-250__198.800000MHz,150-250,198.8
367,150-250__198.933333MHz,150-250,198.933333
368,150-250__199.066667MHz,150-250,199.066667
369,150-250__199.200000MHz,150-250,199.2
370,150-250__199.333333MHz,150-250,199.333333
371,150-250__199.466667MHz,150-250,199.466667
372,150-250__199.600000MHz,150-250,199.6
373,150-250__199.733333MHz,150-250,199.733333
374,150-250__199.866667MHz,150-250,199.866667
375,150-250__200.000000MHz,150-250,200.0
376,150-250__200.133333MHz,150-250,200.133333
377,150-250__200.266667MHz,150-250,200.266667
378,150-250__200.400000MHz,150-250,200.4
379,150-250__200.533333MHz,150-250,200.533333
380,150-250__200.666667MHz,150-250,200.666667
381,150-250__200.800000MHz,150-250,200.8
382,150-250__200.933333MHz,150-250,200.933333
383,150-250__201.066667MHz,150-250,201.066667
384,150-250__201.200000MHz,150-250,201.2
385,150-250__201.333333MHz,150-250,201.333333
386,150-250__201.466667MHz,150-250,201.466667
387,150-250__201.600000MHz,150-250,201.6
388,150-250__201.733333MHz,150-250,201.733333
389,150-250__201.866667MHz,150-250,201.866667
390,150-250__202.000000MHz,150-250,202.0
391,150-250__202.133333MHz,150-250,202.133333
392,150-250__202.266667MHz,150-250,202.266667
393,150-250__202.400000MHz,150-250,202.4
394,150-250__202.533333MHz,150-250,202.533333
395,150-250__202.666667MHz,150-250,202.666667
396,150-250__202.800000MHz,150-250,202.8
397,150-250__202.933333MHz,150-250,202.933333
398,150-250__203.066667MHz,150-250,203.066667
399,150-250__203.200000MHz,150-250,203.2
400,150-250__203.333333MHz,150-250,203.333333
401,150-250__203.466667MHz,150-250,203.466667
402,150-250__203.600000MHz,150-250,203.6
403,150-250__203.733333MHz,150-250,203.733333
404,150-250__203.866667MHz,150-250,203.866667
405,150-250__204.000000MHz,150-250,204.0
406,150-250__204.133333MHz,150-250,204.133333
407,150-250__204.266667MHz,150-250,204.266667
408,150-250__204.400000MHz,150-250,204.4
409,150-250__204.533333MHz,150-250,204.533333
410,150-250__204.666667MHz,150-250,204.666667
411,150-250__204.800000MHz,150-250,204.8
412,150-250__204.933333MHz,150-250,204.933333
413,150-250__205.066667MHz,150-250,205.066667
414,150-250__205.200000MHz,150-250,205.2
415,150-250__205.333333MHz,150-250,205.333333
416,150-250__205.466667MHz,150-250,205.466667
417,150-250__205.600000MHz,150-250,205.6
418,150-250__205.733333MHz,150-250,205.733333
419,150-250__205.866667MHz,150-250,205.866667
420,150-250__206.000000MHz,150-250,206.0
421,150-250__206.133333MHz,150-250,206.133333
422,150-250__206.266667MHz,150-250,206.266667
423,150-250__206.400000MHz,150-250,206.4
424,150-250__206.533333MHz,150-250,206.533333
425,150-250__206.666667MHz,150-250,206.666667
426,150-250__206.800000MHz,150-250,206.8
427,150-250__206.933333MHz,150-250,206.933333
428,150-250__207.066667MHz,150-250,207.066667
429,150-250__207.200000MHz,150-250,207.2
430,150-250__207.333333MHz,150-250,207.333333
431,150-250__207.466667MHz,150-250,207.466667
432,150-250__207.600000MHz,150-250,207.6
433,150-250__207.733333MHz,150-250,207.733333
434,150-250__207.866667MHz,150-250,207.866667
435,150-250__208.000000MHz,150-250,208.0
436,150-250__208.133333MHz,150-250,208.133333
437,150-250__208.266667MHz,150-250,208.266667
438,150-250__208.400000MHz,150-250,208.4
439,150-250__208.533333MHz,150-250,208.533333
440,150-250__208.666667MHz,150-250,208.666667
441,150-250__208.800000MHz,150-250,208.8
442,150-250__208.933333MHz,150-250,208.933333
443,150-250__209.066667MHz,150-250,209.066667
444,150-250__209.200000MHz,150-250,209.2
445,150-250__209.333333MHz,150-250,209.333333
446,150-250__209.466667MHz,150-250,209.466667
447,150-250__209.600000MHz,150-250,209.6
448,150-250__209.733333MHz,150-250,209.733333
449,150-250__209.866667MHz,150-250,209.866667
450,150-250__210.000000MHz,150-250,210.0
451,150-250__210.133333MHz,150-250,210.133333
452,150-250__210.266667MHz,150-250,210.266667
453,150-250__210.400000MHz,150-250,210.4
454,150-250__210.533333MHz,150-250,210.533333
455,150-250__210.666667MHz,150-250,210.666667
456,150-250__210.800000MHz,150-250,210.8
457,150-250__210.933333MHz,150-250,210.933333
458,150-250__211.066667MHz,150-250,211.066667
459,150-250__211.200000MHz,150-250,211.2
460,150-250__211.333333MHz,150-250,211.333333
461,150-250__211.466667MHz,150-250,211.466667
462,150-250__211.600000MHz,150-250,211.6
463,150-250__211.733333MHz,150-250,211.733333
464,150-250__211.866667MHz,150-250,211.866667
465,150-250__212.000000MHz,150-250,212.0
466,150-250__212.133333MHz,150-250,212.133333
467,150-250__212.266667MHz,150-250,212.266667
468,150-250__212.400000MHz,150-250,212.4
469,150-250__212.533333MHz,150-250,212.533333
470,150-250__212.666667MHz,150-250,212.666667
471,150-250__212.800000MHz,150-250,212.8
472,150-250__212.933333MHz,150-250,212.933333
473,150-250__213.066667MHz,150-250,213.066667
474,150-250__213.200000MHz,150-250,213.2
475,150-250__213.333333MHz,150-250,213.333333
476,150-250__213.466667MHz,150-250,213.466667
477,150-250__213.600000MHz,150-250,213.6
478,150-250__213.733333MHz,150-250,213.733333
479,150-250__213.866667MHz,150-250,213.866667
480,150-250__214.000000MHz,150-250,214.0
481,150-250__214.133333MHz,150-250,214.133333
482,150-250__214.266667MHz,150-250,214.266667
483,150-250__214.400000MHz,150-250,214.4
484,150-250__214.533333MHz,150-250,214.533333
485,150-250__214.666667MHz,150-250,214.666667
486,150-250__214.800000MHz,150-250,214.8
487,150-250__214.933333MHz,150-250,214.933333
488,150-250__215.066667MHz,150-250,215.066667
489,150-250__215.200000MHz,150-250,215.2
490,150-250__215.333333MHz,150-250,215.333333
491,150-250__215.466667MHz,150-250,215.466667
492,150-250__215.600000MHz,150-250,215.6
493,150-250__215.733333MHz,150-250,215.733333
494,150-250__215.866667MHz,150-250,215.866667
495,150-250__216.000000MHz,150-250,216.0
496,150-250__216.133333MHz,150-250,216.133333
497,150-250__216.266667MHz,150-250,216.266667
498,150-250__216.400000MHz,150-250,216.4
499,150-250__216.533333MHz,150-250,216.533333
500,150-250__216.666667MHz,150-250,216.666667
501,150-250__216.800000MHz,150-250,216.8
502,150-250__216.933333MHz,150-250,216.933333
503,150-250__217.066667MHz,150-250,217.066667
504,150-250__217.200000MHz,150-250,217.2
505,150-250__217.333333MHz,150-250,217.333333
506,150-250__217.466667MHz,150-250,217.466667
507,150-250__217.600000MHz,150-250,217.6
508,150-250__217.733333MHz,150-250,217.733333
509,150-250__217.866667MHz,150-250,217.866667
510,150-250__218.000000MHz,150-250,218.0
511,150-250__218.133333MHz,150-250,218.133333
512,150-250__218.266667MHz,150-250,218.266667
513,150-250__218.400000MHz,150-250,218.4
514,150-250__218.533333MHz,150-250,218.533333
515,150-250__218.666667MHz,150-250,218.666667
516,150-250__218.800000MHz,150-250,218.8
517,150-250__218.933333MHz,150-250,218.933333
518,150-250__219.066667MHz,150-250,219.066667
519,150-250__219.200000MHz,150-250,219.2
520,150-250__219.333333MHz,150-250,219.333333
521,150-250__219.466667MHz,150-250,219.466667
522,150-250__219.600000MHz,150-250,219.6
523,150-250__219.733333MHz,150-250,219.733333
524,150-250__219.866667MHz,150-250,219.866667
525,150-250__220.000000MHz,150-250,220.0
526,150-250__220.133333MHz,150-250,220.133333
527,150-250__220.266667MHz,150-250,220.266667
528,150-250__220.400000MHz,150-250,220.4
529,150-250__220.533333MHz,150-250,220.533333
530,150-250__220.666667MHz,150-250,220.666667
531,150-250__220.800000MHz,150-250,220.8
532,150-250__220.933333MHz,150-250,220.933333
533,150-250__221.066667MHz,150-250,221.066667
534,150-250__221.200000MHz,150-250,221.2
535,150-250__221.333333MHz,150-250,221.333333
536,150-250__221.466667MHz,150-250,221.466667
537,150-250__221.600000MHz,150-250,221.6
538,150-250__221.733333MHz,150-250,221.733333
539,150-250__221.866667MHz,150-250,221.866667
540,150-250__222.000000MHz,150-250,222.0
541,150-250__222.133333MHz,150-250,222.133333
542,150-250__222.266667MHz,150-250,222.266667
543,150-250__222.400000MHz,150-250,222.4
544,150-250__222.533333MHz,150-250,222.533333
545,150-250__222.666667MHz,150-250,222.666667
546,150-250__222.800000MHz,150-250,222.8
547,150-250__222.933333MHz,150-250,222.933333
548,150-250__223.066667MHz,150-250,223.066667
549,150-250__223.200000MHz,150-250,223.2
550,150-250__223.333333MHz,150-250,223.333333
551,150-250__223.466667MHz,150-250,223.466667
552,150-250__223.600000MHz,150-250,223.6
553,150-250__223.733333MHz,150-250,223.733333
554,150-250__223.866667MHz,150-250,223.866667
555,150-250__224.000000MHz,150-250,224.0
556,150-250__224.133333MHz,150-250,224.133333
557,150-250__224.266667MHz,150-250,224.266667
558,150-250__224.400000MHz,150-250,224.4
559,150-250__224.533333MHz,150-250,224.533333
560,150-250__224.666667MHz,150-250,224.666667
561,150-250__224.800000MHz,150-250,224.8
562,150-250__224.933333MHz,150-250,224.933333
563,150-250__225.066667MHz,150-250,225.066667
564,150-250__225.200000MHz,150-250,225.2
565,150-250__225.333333MHz,150-250,225.333333
566,150-250__225.466667MHz,150-250,225.466667
567,150-250__225.600000MHz,150-250,225.6
568,150-250__225.733333MHz,150-250,225.733333
569,150-250__225.866667MHz,150-250,225.866667
570,150-250__226.000000MHz,150-250,226.0
571,150-250__226.133333MHz,150-250,226.133333
572,150-250__226.266667MHz,150-250,226.266667
573,150-250__226.400000MHz,150-250,226.4
574,150-250__226.533333MHz,150-250,226.533333
575,150-250__226.666667MHz,150-250,226.666667
576,150-250__226.800000MHz,150-250,226.8
577,150-250__226.933333MHz,150-250,226.933333
578,150-250__227.066667MHz,150-250,227.066667
579,150-250__227.200000MHz,150-250,227.2
580,150-250__227.333333MHz,150-250,227.333333
581,150-250__227.466667MHz,150-250,227.466667
582,150-250__227.600000MHz,150-250,227.6
583,150-250__227.733333MHz,150-250,227.733333
584,150-250__227.866667MHz,150-250,227.866667
585,150-250__228.000000MHz,150-250,228.0
586,150-250__228.133333MHz,150-250,228.133333
587,150-250__228.266667MHz,150-250,228.266667
588,150-250__228.400000MHz,150-250,228.4
589,150-250__228.533333MHz,150-250,228.533333
590,150-250__228.666667MHz,150-250,228.666667
591,150-250__228.800000MHz,150-250,228.8
592,150-250__228.933333MHz,150-250,228.933333
593,150-250__229.066667MHz,150-250,229.066667
594,150-250__229.200000MHz,150-250,229.2
595,150-250__229.333333MHz,150-250,229.333333
596,150-250__229.466667MHz,150-250,229.466667
597,150-250__229.600000MHz,150-250,229.6
598,150-250__229.733333MHz,150-250,229.733333
599,150-250__229.866667MHz,150-250,229.866667
600,150-250__230.000000MHz,150-250,230.0
601,150-250__230.133333MHz,150-250,230.133333
602,150-250__230.266667MHz,150-250,230.266667
603,150-250__230.400000MHz,150-250,230.4
604,150-250__230.533333MHz,150-250,230.533333
605,150-250__230.666667MHz,150-250,230.666667
606,150-250__230.800000MHz,150-250,230.8
607,150-250__230.933333MHz,150-250,230.933333
608,150-250__231.066667MHz,150-250,231.066667
609,150-250__231.200000MHz,150-250,231.2
610,150-250__231.333333MHz,150-250,231.333333
611,150-250__231.466667MHz,150-250,231.466667
612,150-250__231.600000MHz,150-250,231.6
613,150-250__231.733333MHz,150-250,231.733333
614,150-250__231.866667MHz,150-250,231.866667
615,150-250__232.000000MHz,150-250,232.0
616,150-250__232.133333MHz,150-250,232.133333
617,150-250__232.266667MHz,150-250,232.266667
618,150-250__232.400000MHz,150-250,232.4
619,150-250__232.533333MHz,150-250,232.533333
620,150-250__232.666667MHz,150-250,232.666667
621,150-250__232.800000MHz,150-250,232.8
622,150-250__232.933333MHz,150-250,232.933333
623,150-250__233.066667MHz,150-250,233.066667
624,150-250__233.200000MHz,150-250,233.2
625,150-250__233.333333MHz,150-250,233.333333
626,150-250__233.466667MHz,150-250,233.466667
627,150-250__233.600000MHz,150-250,233.6
628,150-250__233.733333MHz,150-250,233.733333
629,150-250__233.866667MHz,150-250,233.866667
630,150-250__234.000000MHz,150-250,234.0
631,150-250__234.133333MHz,150-250,234.133333
632,150-250__234.266667MHz,150-250,234.266667
633,150-250__234.400000MHz,150-250,234.4
634,150-250__234.533333MHz,150-250,234.533333
635,150-250__234.666667MHz,150-250,234.666667
636,150-250__234.800000MHz,150-250,234.8
637,150-250__234.933333MHz,150-250,234.933333
638,150-250__235.066667MHz,150-250,235.066667
639,150-250__235.200000MHz,150-250,235.2
640,150-250__235.333333MHz,150-250,235.333333
641,150-250__235.466667MHz,150-250,235.466667
642,150-250__235.600000MHz,150-250,235.6
643,150-250__235.733333MHz,150-250,235.733333
644,150-250__235.866667MHz,150-250,235.866667
645,150-250__236.000000MHz,150-250,236.0
646,150-250__236.133333MHz,150-250,236.133333
647,150-250__236.266667MHz,150-250,236.266667
648,150-250__236.400000MHz,150-250,236.4
649,150-250__236.533333MHz,150-250,236.533333
650,150-250__236.666667MHz,150-250,236.666667
651,150-250__236.800000MHz,150-250,236.8
652,150-250__236.933333MHz,150-250,236.933333
653,150-250__237.066667MHz,150-250,237.066667
654,150-250__237.200000MHz,150-250,237.2
655,150-250__237.333333MHz,150-250,237.333333
656,150-250__237.466667MHz,150-250,237.466667
657,150-250__237.600000MHz,150-250,237.6
658,150-250__237.733333MHz,150-250,237.733333
659,150-250__237.866667MHz,150-250,237.866667
660,150-250__238.000000MHz,150-250,238.0
661,150-250__238.133333MHz,150-250,238.133333
662,150-250__238.266667MHz,150-250,238.266667
663,150-250__238.400000MHz,150-250,238.4
664,150-250__238.533333MHz,150-250,238.533333
665,150-250__238.666667MHz,150-250,238.666667
666,150-250__238.800000MHz,150-250,238.8
667,150-250__238.933333MHz,150-250,238.933333
668,150-250__239.066667MHz,150-250,239.066667
669,150-250__239.200000MHz,150-250,239.2
670,150-250__239.333333MHz,150-250,239.333333
671,150-250__239.466667MHz,150-250,239.466667
672,150-250__239.600000MHz,150-250,239.6
673,150-250__239.733333MHz,150-250,239.733333
674,150-250__239.866667MHz,150-250,239.866667
675,150-250__240.000000MHz,150-250,240.0
676,150-250__240.133333MHz,150-250,240.133333
677,150-250__240.266667MHz,150-250,240.266667
678,150-250__240.400000MHz,150-250,240.4
679,150-250__240.533333MHz,150-250,240.533333
680,150-250__240.666667MHz,150-250,240.666667
681,150-250__240.800000MHz,150-250,240.8
682,150-250__240.933333MHz,150-250,240.933333
683,150-250__241.066667MHz,150-250,241.066667
684,150-250__241.200000MHz,150-250,241.2
685,150-250__241.333333MHz,150-250,241.333333
686,150-250__241.466667MHz,150-250,241.466667
687,150-250__241.600000MHz,150-250,241.6
688,150-250__241.733333MHz,150-250,241.733333
689,150-250__241.866667MHz,150-250,241.866667
690,150-250__242.000000MHz,150-250,242.0
691,150-250__242.133333MHz,150-250,242.133333
692,150-250__242.266667MHz,150-250,242.266667
693,150-250__242.400000MHz,150-250,242.4
694,150-250__242.533333MHz,150-250,242.533333
695,150-250__242.666667MHz,150-250,242.666667
696,150-250__242.800000MHz,150-250,242.8
697,150-250__242.933333MHz,150-250,242.933333
698,150-250__243.066667MHz,150-250,243.066667
699,150-250__243.200000MHz,150-250,243.2
700,150-250__243.333333MHz,150-250,243.333333
701,150-250__243.466667MHz,150-250,243.466667
702,150-250__243.600000MHz,150-250,243.6
703,150-250__243.733333MHz,150-250,243.733333
704,150-250__243.866667MHz,150-250,243.866667
705,150-250__244.000000MHz,150-250,244.0
706,150-250__244.133333MHz,150-250,244.133333
707,150-250__244.266667MHz,150-250,244.266667
708,150-250__244.400000MHz,150-250,244.4
709,150-250__244.533333MHz,150-250,244.533333
710,150-250__244.666667MHz,150-250,244.666667
711,150-250__244.800000MHz,150-250,244.8
712,150-250__244.933333MHz,150-250,244.933333
713,150-250__245.066667MHz,150-250,245.066667
714,150-250__245.200000MHz,150-250,245.2
715,150-250__245.333333MHz,150-250,245.333333
716,150-250__245.466667MHz,150-250,245.466667
717,150-250__245.600000MHz,150-250,245.6
718,150-250__245.733333MHz,150-250,245.733333
719,150-250__245.866667MHz,150-250,245.866667
720,150-250__246.000000MHz,150-250,246.0
721,150-250__246.133333MHz,150-250,246.133333
722,150-250__246.266667MHz,150-250,246.266667
723,150-250__246.400000MHz,150-250,246.4
724,150-250__246.533333MHz,150-250,246.533333
725,150-250__246.666667MHz,150-250,246.666667
726,150-250__246.800000MHz,150-250,246.8
727,150-250__246.933333MHz,150-250,246.933333
728,150-250__247.066667MHz,150-250,247.066667
729,150-250__247.200000MHz,150-250,247.2
730,150-250__247.333333MHz,150-250,247.333333
731,150-250__247.466667MHz,150-250,247.466667
732,150-250__247.600000MHz,150-250,247.6
733,150-250__247.733333MHz,150-250,247.733333
734,150-250__247.866667MHz,150-250,247.866667
735,150-250__248.000000MHz,150-250,248.0
736,150-250__248.133333MHz,150-250,248.133333
737,150-250__248.266667MHz,150-250,248.266667
738,150-250__248.400000MHz,150-250,248.4
739,150-250__248.533333MHz,150-250,248.533333
740,150-250__248.666667MHz,150-250,248.666667
741,150-250__248.800000MHz,150-250,248.8
742,150-250__248.933333MHz,150-250,248.933333
