Frequency(Hz),
146880000,-67.07
147266667,-67.4
147653333,-67.64
148040000,-67.67
148426667,-68.06
148813333,-68.21
149200000,-68.27
149586667,-68.31
149973333,-68.29
150360000,-68.3
150746667,-68.33
151133333,-68.33
151520000,-68.32
151906667,-68.36
152293333,-68.33
152680000,-68.62
153066667,-68.71
153453333,-68.83
153840000,-69.34
154226667,-69.63
154613333,-69.75
155000000,-70.18
155386667,-70.82
155773333,-70.88
156160000,-71.5
156546667,-71.81
156933333,-72.15
157320000,-72.6
157706667,-72.93
158093333,-73.11
158480000,-73.81
158866667,-73.52
159253333,-74.16
159640000,-74.5
160026667,-74.6
160413333,-74.79
160800000,-74.91
161186667,-74.63
161573333,-74.98
161960000,-74.83
162346667,-74.99
162733333,-74.53
163120000,-74.61
163506667,-74.8
163893333,-74.86
164280000,-74.66
164666667,-74.58
165053333,-74.47
165440000,-73.98
165826667,-74.11
166213333,-73.73
166600000,-73.4
166986667,-73.16
167373333,-72.84
167760000,-72.36
168146667,-72.06
168533333,-71.42
168920000,-70.99
169306667,-70.59
169693333,-70.28
170080000,-69.88
170466667,-69.21
170853333,-68.75
171240000,-68.25
171626667,-67.81
172013333,-67.29
172400000,-66.74
172786667,-66.17
173173333,-65.81
173560000,-65.21
173946667,-64.66
174333333,-64.01
174720000,-63.65
175106667,-63.17
175493333,-62.68
175880000,-62.26
176266667,-61.86
176653333,-61.42
177040000,-61.13
177426667,-60.79
177813333,-60.5
178200000,-60.23
178586667,-60.08
178973333,-59.84
179360000,-59.7
179746667,-59.63
180133333,-59.61
180520000,-59.5
180906667,-59.62
181293333,-59.61
181680000,-59.62
182066667,-59.7
182453333,-59.77
182840000,-59.8
183226667,-59.93
183613333,-60.06
184000000,-60.08
184386667,-60.13
184773333,-60.14
185160000,-60.17
185546667,-60.05
185933333,-60.06
186320000,-59.84
186706667,-59.6
187093333,-59.31
187480000,-59.06
187866667,-58.55
188253333,-58.18
188640000,-57.82
189026667,-57.29
189413333,-56.75
189800000,-56.32
190186667,-55.72
190573333,-55.19
190960000,-54.76
191346667,-54.27
191733333,-53.76
192120000,-53.26
192506667,-52.79
192893333,-52.25
193280000,-51.78
193666667,-51.33
194053333,-50.77
194440000,-50.3
194826667,-49.86
195213333,-49.42
195600000,-49
195986667,-48.75
196373333,-48.53
196760000,-48.46
197146667,-48.6
197533333,-48.9
197920000,-49.33
198306667,-49.97
198693333,-50.8
199080000,-51.61
199466667,-52.39
199853333,-53.25
200240000,-54.06
200626667,-54.7
201013333,-55.4
201400000,-55.95
201786667,-56.38
202173333,-56.73
202560000,-57.1
202946667,-57.18
203333333,-57.26
203720000,-57.33
204106667,-57.22
204493333,-57.13
204880000,-57.02
205266667,-56.89
205653333,-56.7
206040000,-56.52
206426667,-56.28
206813333,-55.98
207200000,-55.86
207586667,-55.63
207973333,-55.39
208360000,-55.2
208746667,-55.06
209133333,-54.82
209520000,-54.63
209906667,-54.51
210293333,-54.35
210680000,-54.27
211066667,-54.19
211453333,-54.06
211840000,-53.98
212226667,-54
212613333,-53.98
213000000,-53.92
213386667,-53.91
213773333,-53.96
214160000,-53.89
214546667,-53.94
214933333,-53.99
215320000,-53.99
215706667,-54.01
216093333,-54.06
216480000,-54.06
216866667,-54.06
217253333,-54.12
217640000,-54.14
218026667,-54.17
218413333,-54.19
218800000,-54.33
219186667,-54.34
219573333,-54.47
219960000,-54.72
220346667,-54.9
220733333,-55.19
221120000,-55.66
221506667,-56.19
221893333,-56.9
222280000,-57.8
222666667,-58.82
223053333,-60.08
223440000,-61.6
223826667,-63.42
224213333,-65.09
224600000,-66.5
224986667,-67.26
225373333,-66.78
225760000,-65.65
226146667,-64.4
226533333,-63.17
226920000,-62.2
227306667,-61.23
227693333,-60.39
228080000,-59.72
228466667,-59.06
228853333,-58.56
229240000,-58.06
229626667,-57.62
230013333,-57.28
230400000,-56.91
230786667,-56.66
231173333,-56.41
231560000,-56.16
231946667,-55.99
232333333,-55.89
232720000,-55.71
233106667,-55.6
233493333,-55.51
233880000,-55.39
234266667,-55.33
234653333,-55.23
235040000,-55.21
235426667,-55.08
235813333,-55.03
236200000,-55.07
236586667,-55
236973333,-55
237360000,-55.01
237746667,-54.99
238133333,-55.01
238520000,-55.01
238906667,-55.06
239293333,-55.08
239680000,-55.15
240066667,-55.29
240453333,-55.33
240840000,-55.41
241226667,-55.6
241613333,-55.72
242000000,-55.84
242386667,-56.06
242773333,-56.29
243160000,-56.44
243546667,-56.77
243933333,-56.97
244320000,-57.17
244706667,-57.52
245093333,-57.79
245480000,-58.07
245866667,-58.35
246253333,-58.67
246640000,-58.96
247026667,-59.2
247413333,-59.55
247800000,-59.8
248186667,-60.07
248573333,-60.36
248960000,-60.5
249346667,-60.71
249733333,-60.97
250120000,-61.2
250506667,-61.45
250893333,-61.51
251280000,-61.79
251666667,-61.7
252053333,-61.8
252440000,-62.07
252826667,-62.03
253213333,-62.18
253600000,-62.16
253986667,-62.22
254373333,-62.3
254760000,-62.42
255146667,-62.46
255533333,-62.44
255920000,-62.45
256306667,-62.57
256693333,-62.47
257080000,-62.56
257466667,-62.6
257853333,-62.71
258240000,-62.62
258626667,-62.76
259013333,-62.73
259400000,-62.78
259786667,-62.9
260173333,-63.01
260560000,-62.99
260946667,-63.2
261333333,-63.3
261720000,-63.17
262106667,-63.44
262493333,-63.46
262880000,-63.59
263266667,-63.84
263653333,-64
264040000,-64.21
264426667,-64.31
264813333,-64.59
265200000,-64.88
265586667,-65.15
265973333,-65.43
266360000,-65.68
266746667,-66.04
267133333,-66.5
267520000,-66.84
267906667,-67.2
268293333,-67.6
268680000,-68.1
269066667,-68.62
269453333,-69.05
269840000,-69.46
270226667,-70.17
270613333,-70.85
271000000,-71.48
