Trace Data,
147266667,-62.41
147653333,-61.78
148040000,-61.22
148426667,-60.64
148813333,-60.19
149200000,-59.65
149586667,-59.3
149973333,-58.9
150360000,-58.48
150746667,-58.3
151133333,-58.15
151520000,-58
151906667,-58.03
152293333,-58.06
152680000,-58.13
153066667,-58.21
153453333,-58.51
153840000,-58.88
154226667,-59.12
154613333,-59.64
155000000,-60.01
155386667,-60.44
155773333,-60.92
156160000,-61.41
156546667,-61.83
156933333,-62.33
157320000,-62.91
157706667,-63.3
158093333,-63.78
158480000,-64.35
158866667,-64.68
159253333,-65.21
159640000,-65.6
160026667,-65.98
160413333,-66.28
160800000,-66.71
161186667,-67.13
161573333,-67.43
161960000,-67.6
162346667,-68.1
162733333,-68.39
163120000,-68.75
163506667,-68.69
163893333,-68.98
164280000,-69.1
164666667,-69.25
165053333,-69.44
165440000,-69.4
165826667,-69.59
166213333,-69.6
166600000,-69.42
166986667,-69.63
167373333,-69.22
167760000,-69.18
168146667,-69.02
168533333,-68.81
168920000,-68.52
169306667,-68.16
169693333,-67.84
170080000,-67.31
170466667,-67.05
170853333,-66.49
171240000,-66.03
171626667,-65.62
172013333,-65.09
172400000,-64.43
172786667,-63.86
173173333,-63.39
173560000,-62.7
173946667,-62.2
174333333,-61.63
174720000,-61
175106667,-60.39
175493333,-59.84
175880000,-59.33
176266667,-58.91
176653333,-58.35
177040000,-57.99
177426667,-57.58
177813333,-57.11
178200000,-56.75
178586667,-56.53
178973333,-56.2
179360000,-56
179746667,-55.74
180133333,-55.57
180520000,-55.33
180906667,-55.23
181293333,-55.1
181680000,-54.92
182066667,-54.79
182453333,-54.66
182840000,-54.4
183226667,-54.29
183613333,-54.03
184000000,-53.67
184386667,-53.3
184773333,-52.91
185160000,-52.34
185546667,-51.79
185933333,-51.21
186320000,-50.55
186706667,-49.8
187093333,-49.04
187480000,-48.25
187866667,-47.4
188253333,-46.68
188640000,-45.99
189026667,-45.27
189413333,-44.76
189800000,-44.38
190186667,-44.09
190573333,-43.97
190960000,-44.03
191346667,-44.24
191733333,-44.52
192120000,-45.02
192506667,-45.6
192893333,-46.19
193280000,-46.85
193666667,-47.63
194053333,-48.33
194440000,-49.03
194826667,-49.83
195213333,-50.55
195600000,-51.24
195986667,-52.02
196373333,-52.71
196760000,-53.39
197146667,-54.11
197533333,-54.75
197920000,-55.43
