Trace Data,
10000000,-85.84
10386667,-85.64
10773333,-84.93
11160000,-85.35
11546667,-86.2
11933333,-84.88
12320000,-84.97
12706667,-84.57
13093333,-84.83
13480000,-84.84
13866667,-84.54
14253333,-84.53
14640000,-84.08
15026667,-84.36
15413333,-83.27
15800000,-83.8
16186667,-85.2
16573333,-83.74
16960000,-84.74
17346667,-83.5
17733333,-84.55
18120000,-84.71
18506667,-84.77
18893333,-83.97
19280000,-84.85
19666667,-84.6
20053333,-84.58
20440000,-85.22
20826667,-85.03
21213333,-85.34
21600000,-85.07
21986667,-84.09
22373333,-84.67
22760000,-84.95
23146667,-85.28
23533333,-84.64
23920000,-84.27
24306667,-82.81
24693333,-80.23
25080000,-77.61
25466667,-71.66
25853333,-70.52
26240000,-75.74
26626667,-80.13
27013333,-82.97
27400000,-83.54
27786667,-85.43
28173333,-85.06
28560000,-84.73
28946667,-85.25
29333333,-85.28
29720000,-86.05
30106667,-85.83
30493333,-85.67
30880000,-85.61
31266667,-84.69
31653333,-84.5
32040000,-83.87
32426667,-82.92
32813333,-83.25
33200000,-83.55
33586667,-82.22
33973333,-82.09
34360000,-81.47
34746667,-81.12
35133333,-81.48
35520000,-81.14
35906667,-80.47
36293333,-79.92
36680000,-79.47
37066667,-78.89
37453333,-79.05
37840000,-78.87
38226667,-78.55
38613333,-78.2
39000000,-77.91
39386667,-76.95
39773333,-76.92
40160000,-76.53
40546667,-75.33
40933333,-74.31
41320000,-73.62
41706667,-72.54
42093333,-71.33
42480000,-69.76
42866667,-68.45
43253333,-66.97
43640000,-65.39
44026667,-63.52
44413333,-61.48
44800000,-59.13
45186667,-56.42
45573333,-53.82
45960000,-53.3
46346667,-54.55
46733333,-57.22
47120000,-59.77
47506667,-61.93
47893333,-64
48280000,-65.65
48666667,-67.5
49053333,-68.81
49440000,-69.76
49826667,-71.06
50213333,-72.05
50600000,-73.06
50986667,-74.03
51373333,-74.91
51760000,-75.48
52146667,-76.28
52533333,-76.49
52920000,-76.91
53306667,-76.71
53693333,-76.61
54080000,-76.33
54466667,-76.41
54853333,-76.43
55240000,-75.69
55626667,-75.98
56013333,-75.4
56400000,-75.24
56786667,-74.73
57173333,-74.51
57560000,-74.24
57946667,-73.9
58333333,-73.38
58720000,-73.19
59106667,-73.21
59493333,-72.87
59880000,-72.58
60266667,-72.32
60653333,-71.98
61040000,-71.74
61426667,-71.25
61813333,-71.1
62200000,-70.67
62586667,-70.52
62973333,-70.13
63360000,-69.65
63746667,-69.29
64133333,-68.92
64520000,-68.46
64906667,-67.79
65293333,-67.43
65680000,-66.76
66066667,-66.11
66453333,-65.45
66840000,-64.6
67226667,-63.8
67613333,-63.31
68000000,-63.58
68386667,-65.52
68773333,-69.25
69160000,-74.16
69546667,-80.47
69933333,-84.56
70320000,-82.03
70706667,-79.23
71093333,-77.05
71480000,-75.71
71866667,-74.65
72253333,-73.78
72640000,-73.47
73026667,-72.75
73413333,-72.43
73800000,-72.07
74186667,-71.62
74573333,-71.5
74960000,-71.41
75346667,-71.09
75733333,-71.11
76120000,-70.95
76506667,-70.94
76893333,-70.7
77280000,-70.42
77666667,-70.78
78053333,-70.9
78440000,-70.38
78826667,-70.94
79213333,-70.65
79600000,-71.02
79986667,-70.98
80373333,-71.14
80760000,-71.18
81146667,-71.55
81533333,-71.51
81920000,-71.65
82306667,-71.68
82693333,-71.71
83080000,-71.89
83466667,-71.9
83853333,-71.7
84240000,-71.93
84626667,-71.88
85013333,-71.82
85400000,-71.6
85786667,-71.58
86173333,-71.39
86560000,-71.36
86946667,-70.86
87333333,-70.69
87720000,-70.32
88106667,-70.06
88493333,-69.79
88880000,-69.39
89266667,-68.95
89653333,-68.63
90040000,-68.34
90426667,-67.91
90813333,-67.5
91200000,-67.26
91586667,-66.86
91973333,-66.37
92360000,-66.04
92746667,-65.77
93133333,-65.32
93520000,-64.87
93906667,-64.46
94293333,-64.05
94680000,-63.68
95066667,-63.32
95453333,-62.76
95840000,-62.38
96226667,-62.17
96613333,-61.82
97000000,-61.73
97386667,-61.62
97773333,-61.39
98160000,-61.34
98546667,-61.17
98933333,-61.07
99320000,-60.92
99706667,-60.78
100093333,-60.6
100480000,-60.48
100866667,-60.27
101253333,-60.17
101640000,-59.91
102026667,-59.71
102413333,-59.44
102800000,-59.15
103186667,-58.93
103573333,-58.67
103960000,-58.31
104346667,-57.9
104733333,-57.56
105120000,-57.1
105506667,-56.72
105893333,-56.21
106280000,-55.74
106666667,-55.21
107053333,-54.83
107440000,-54.63
107826667,-54.49
108213333,-54.7
108600000,-55.22
108986667,-56.16
109373333,-57.29
109760000,-58.74
110146667,-60.33
110533333,-61.86
110920000,-63.5
111306667,-65.02
111693333,-66.67
112080000,-68.31
112466667,-69.98
112853333,-71.81
113240000,-73.49
113626667,-75.99
114013333,-77.41
114400000,-78.66
114786667,-80
115173333,-79.96
115560000,-80.05
115946667,-79.6
116333333,-78.41
116720000,-77.93
117106667,-76.92
117493333,-76.64
117880000,-75.81
118266667,-75.44
118653333,-75.4
119040000,-74.89
119426667,-74.89
119813333,-74.45
120200000,-73.87
120586667,-74.12
120973333,-74.13
121360000,-73.84
121746667,-73.7
122133333,-73.16
122520000,-73.14
122906667,-72.74
123293333,-72.7
123680000,-72.46
124066667,-72.5
124453333,-72.31
124840000,-71.84
125226667,-71.79
125613333,-71.67
126000000,-71.53
126386667,-71.28
126773333,-71.15
127160000,-71.15
127546667,-70.94
127933333,-70.64
128320000,-70.29
128706667,-70.38
129093333,-69.92
129480000,-69.73
129866667,-69.55
130253333,-69.16
130640000,-68.86
131026667,-68.64
131413333,-68.17
131800000,-67.89
132186667,-67.48
132573333,-67.09
132960000,-66.64
133346667,-66.13
133733333,-65.59
134120000,-64.97
134506667,-64.51
134893333,-63.83
135280000,-63.16
135666667,-62.42
136053333,-61.66
136440000,-60.82
136826667,-60.16
137213333,-59.44
137600000,-58.95
137986667,-58.41
138373333,-58.12
138760000,-58.04
139146667,-58.01
139533333,-58.12
139920000,-58.29
140306667,-58.5
140693333,-58.79
141080000,-59.02
141466667,-59.22
141853333,-59.36
142240000,-59.53
142626667,-59.69
143013333,-59.57
143400000,-59.5
143786667,-59.46
144173333,-59.25
144560000,-59.05
144946667,-58.84
145333333,-58.44
145720000,-58.07
146106667,-57.71
146493333,-57.2
146880000,-56.79
147266667,-56.38
147653333,-55.94
148040000,-55.44
148426667,-55.08
148813333,-54.77
149200000,-54.4
149586667,-54.2
149973333,-53.97
150360000,-53.79
150746667,-53.73
151133333,-53.66
151520000,-53.67
151906667,-53.69
152293333,-53.85
152680000,-54
153066667,-54.21
153453333,-54.51
153840000,-54.85
154226667,-55.09
154613333,-55.5
155000000,-55.85
155386667,-56.26
155773333,-56.65
156160000,-57.03
156546667,-57.47
156933333,-57.85
157320000,-58.27
157706667,-58.74
158093333,-59.11
158480000,-59.53
158866667,-59.93
159253333,-60.34
159640000,-60.63
160026667,-60.99
160413333,-61.48
160800000,-61.65
161186667,-62.07
161573333,-62.35
161960000,-62.66
162346667,-62.97
162733333,-63.26
163120000,-63.5
163506667,-63.82
163893333,-64.04
164280000,-64.18
164666667,-64.45
165053333,-64.75
165440000,-64.73
165826667,-64.83
166213333,-65.28
166600000,-65.22
166986667,-65.17
167373333,-65.38
167760000,-65.47
168146667,-65.28
168533333,-65.46
168920000,-65.34
169306667,-65
169693333,-65
170080000,-64.76
170466667,-64.5
170853333,-64.02
171240000,-63.84
171626667,-63.18
172013333,-62.78
172400000,-62.4
172786667,-61.83
173173333,-61.13
173560000,-60.68
173946667,-60.05
174333333,-59.49
174720000,-58.85
175106667,-58.25
175493333,-57.6
175880000,-57.04
176266667,-56.36
176653333,-55.82
177040000,-55.33
177426667,-54.86
177813333,-54.28
178200000,-53.85
178586667,-53.45
178973333,-52.97
179360000,-52.57
179746667,-52.19
180133333,-51.78
180520000,-51.37
180906667,-50.96
181293333,-50.55
181680000,-50.05
182066667,-49.62
182453333,-49.09
182840000,-48.48
183226667,-47.9
183613333,-47.31
184000000,-46.65
184386667,-46.07
184773333,-45.52
185160000,-45.03
185546667,-44.65
185933333,-44.39
186320000,-44.26
186706667,-44.17
187093333,-44.2
187480000,-44.31
187866667,-44.45
188253333,-44.64
188640000,-44.93
189026667,-45.19
189413333,-45.49
189800000,-45.83
190186667,-46.22
190573333,-46.54
190960000,-47.01
191346667,-47.46
191733333,-47.84
192120000,-48.37
192506667,-48.86
192893333,-49.33
193280000,-49.81
193666667,-50.41
194053333,-50.9
194440000,-51.35
194826667,-51.92
195213333,-52.45
195600000,-52.96
195986667,-53.5
196373333,-54.04
196760000,-54.53
197146667,-55.01
197533333,-55.52
197920000,-55.95
198306667,-56.36
198693333,-56.91
199080000,-57.31
199466667,-57.65
199853333,-58.11
200240000,-58.5
200626667,-58.73
201013333,-59.04
201400000,-59.33
201786667,-59.53
202173333,-59.81
202560000,-60.07
202946667,-59.98
203333333,-60.12
203720000,-60.17
204106667,-60.14
204493333,-60.05
204880000,-60.06
205266667,-59.89
205653333,-59.81
206040000,-59.88
206426667,-59.77
206813333,-59.67
207200000,-59.76
207586667,-59.8
207973333,-59.81
208360000,-59.86
208746667,-60.08
209133333,-60.09
209520000,-60.25
209906667,-60.41
210293333,-60.43
210680000,-60.52
211066667,-60.6
211453333,-60.55
211840000,-60.61
212226667,-60.69
212613333,-60.75
213000000,-60.69
213386667,-60.82
213773333,-60.87
214160000,-60.88
214546667,-60.89
214933333,-60.98
215320000,-60.98
215706667,-61.11
216093333,-61.18
216480000,-61.16
216866667,-61.18
217253333,-61.31
217640000,-61.26
218026667,-61.36
218413333,-61.36
218800000,-61.39
219186667,-61.33
219573333,-61.42
219960000,-61.42
220346667,-61.42
220733333,-61.3
221120000,-61.55
221506667,-61.45
221893333,-61.38
222280000,-61.38
222666667,-61.3
223053333,-61.36
223440000,-61.34
223826667,-61.38
224213333,-61.29
224600000,-61.36
224986667,-61.31
225373333,-61.26
225760000,-61.28
226146667,-61.25
226533333,-61.19
226920000,-61.16
227306667,-61.21
227693333,-61.19
228080000,-61.22
228466667,-61.21
228853333,-61.23
229240000,-61.2
229626667,-61.21
230013333,-61.27
230400000,-61.21
230786667,-61.2
231173333,-61.27
231560000,-61.39
231946667,-61.29
232333333,-61.31
232720000,-61.36
233106667,-61.25
233493333,-61.17
233880000,-61.15
234266667,-61.03
234653333,-61.02
235040000,-60.95
235426667,-60.93
235813333,-60.78
236200000,-60.73
236586667,-60.61
236973333,-60.44
237360000,-60.44
237746667,-60.34
238133333,-60.17
238520000,-60.12
238906667,-60.14
239293333,-60.12
239680000,-60.09
240066667,-60.09
240453333,-59.95
240840000,-60.04
241226667,-60.1
241613333,-60.17
242000000,-60.19
242386667,-60.31
242773333,-60.46
243160000,-60.48
243546667,-60.6
243933333,-60.84
244320000,-60.98
244706667,-61.14
245093333,-61.35
245480000,-61.5
245866667,-61.65
246253333,-61.92
246640000,-62.13
247026667,-62.28
247413333,-62.51
247800000,-62.64
248186667,-62.76
248573333,-62.94
248960000,-63.14
249346667,-63.23
249733333,-63.24
250120000,-63.46
250506667,-63.55
250893333,-63.64
251280000,-63.61
251666667,-63.71
252053333,-63.73
252440000,-63.83
252826667,-63.7
253213333,-63.7
253600000,-63.8
253986667,-63.84
254373333,-63.74
254760000,-63.66
255146667,-63.71
255533333,-63.66
255920000,-63.61
256306667,-63.6
256693333,-63.67
257080000,-63.65
257466667,-63.67
257853333,-63.62
258240000,-63.58
258626667,-63.68
259013333,-63.61
259400000,-63.66
259786667,-63.74
260173333,-63.68
260560000,-63.61
260946667,-63.72
261333333,-63.93
261720000,-63.9
262106667,-64
262493333,-64.13
