Frequency(Hz),Amplitude
146880000,-59.47
147266667,-58.9
147653333,-58.46
148040000,-57.83
148426667,-57.38
148813333,-56.88
149200000,-56.37
149586667,-56.07
149973333,-55.78
150360000,-55.48
150746667,-55.32
151133333,-55.24
151520000,-55.18
151906667,-55.21
152293333,-55.29
152680000,-55.48
153066667,-55.66
153453333,-55.9
153840000,-56.23
154226667,-56.48
154613333,-56.94
155000000,-57.39
155386667,-57.75
155773333,-58.16
156160000,-58.73
156546667,-59.17
156933333,-59.53
157320000,-60.06
157706667,-60.54
158093333,-60.94
158480000,-61.5
158866667,-61.82
159253333,-62.28
159640000,-62.62
160026667,-62.94
160413333,-63.35
160800000,-63.75
161186667,-64.18
161573333,-64.52
161960000,-64.8
162346667,-65.13
162733333,-65.4
163120000,-65.67
163506667,-65.97
163893333,-66.11
164280000,-66.36
164666667,-66.63
165053333,-66.93
165440000,-66.97
165826667,-67.02
166213333,-67.24
166600000,-67.24
166986667,-67.41
167373333,-67.33
167760000,-67.26
168146667,-67.31
168533333,-67.03
168920000,-67.02
169306667,-66.67
169693333,-66.59
170080000,-66.32
170466667,-65.82
170853333,-65.5
171240000,-65.07
171626667,-64.48
172013333,-64.07
172400000,-63.48
172786667,-62.97
173173333,-62.41
173560000,-61.81
173946667,-61.21
174333333,-60.58
174720000,-60
175106667,-59.4
175493333,-58.87
175880000,-58.21
176266667,-57.78
176653333,-57.23
177040000,-56.74
177426667,-56.3
177813333,-55.81
178200000,-55.41
178586667,-55.1
178973333,-54.72
179360000,-54.41
179746667,-54.14
180133333,-53.85
180520000,-53.52
180906667,-53.3
181293333,-53.02
181680000,-52.68
182066667,-52.37
182453333,-52.07
182840000,-51.59
183226667,-51.14
183613333,-50.64
184000000,-49.95
184386667,-49.3
184773333,-48.54
185160000,-47.7
185546667,-46.82
185933333,-45.91
186320000,-45.01
186706667,-44.16
187093333,-43.44
187480000,-42.9
187866667,-42.47
188253333,-42.34
188640000,-42.35
189026667,-42.45
189413333,-42.71
189800000,-43.12
190186667,-43.62
190573333,-44.08
190960000,-44.67
191346667,-45.3
191733333,-45.89
192120000,-46.52
192506667,-47.19
192893333,-47.79
193280000,-48.44
193666667,-49.12
194053333,-49.78
194440000,-50.38
194826667,-51.04
195213333,-51.7
195600000,-52.28
195986667,-52.94
196373333,-53.53
196760000,-54.1
197146667,-54.65
197533333,-55.32
197920000,-55.82
198306667,-56.33
198693333,-56.87
199080000,-57.3
199466667,-57.67
199853333,-58.18
200240000,-58.48
200626667,-58.84
201013333,-59.17
201400000,-59.36
201786667,-59.49
202173333,-59.61
202560000,-59.72
202946667,-59.67
203333333,-59.57
203720000,-59.42
204106667,-59.11
204493333,-58.82
204880000,-58.5
205266667,-58.09
205653333,-57.69
206040000,-57.3
206426667,-56.89
206813333,-56.53
207200000,-56.13
207586667,-55.94
207973333,-55.72
208360000,-55.72
208746667,-55.73
209133333,-55.86
209520000,-56.11
209906667,-56.47
210293333,-56.78
210680000,-57.21
211066667,-57.65
211453333,-58.13
211840000,-58.44
212226667,-58.85
212613333,-59.27
213000000,-59.56
213386667,-59.74
213773333,-60.12
214160000,-60.25
214546667,-60.35
214933333,-60.55
215320000,-60.57
215706667,-60.53
216093333,-60.77
216480000,-60.83
216866667,-60.9
217253333,-60.93
217640000,-61
218026667,-61.02
218413333,-61.11
218800000,-61.09
219186667,-61.16
219573333,-61.07
219960000,-61.17
220346667,-61.08
220733333,-61.18
221120000,-61.13
221506667,-61.11
221893333,-61.12
222280000,-61.18
222666667,-61.12
223053333,-61.06
223440000,-61.07
223826667,-61.08
224213333,-60.99
224600000,-61.08
224986667,-61.03
225373333,-60.9
225760000,-60.95
226146667,-60.95
226533333,-60.92
226920000,-60.89
227306667,-60.84
227693333,-60.89
228080000,-60.77
228466667,-60.84
228853333,-60.81
229240000,-60.83
229626667,-60.75
230013333,-60.69
230400000,-60.62
230786667,-60.67
231173333,-60.75
231560000,-60.59
231946667,-60.56
232333333,-60.59
232720000,-60.46
233106667,-60.46
233493333,-60.34
233880000,-60.28
234266667,-60.21
234653333,-60.09
235040000,-60.1
235426667,-59.95
235813333,-59.81
236200000,-59.82
236586667,-59.7
236973333,-59.54
237360000,-59.6
237746667,-59.46
238133333,-59.37
238520000,-59.34
238906667,-59.31
239293333,-59.24
239680000,-59.22
240066667,-59.29
240453333,-59.27
240840000,-59.28
241226667,-59.38
241613333,-59.43
242000000,-59.53
242386667,-59.62
242773333,-59.69
243160000,-59.87
243546667,-59.99
243933333,-60.21
244320000,-60.33
244706667,-60.57
245093333,-60.77
245480000,-60.91
245866667,-61.22
246253333,-61.43
246640000,-61.59
