Trace Data,
10000000,-85.69
10386667,-85.18
10773333,-84.69
11160000,-85.28
11546667,-85.4
11933333,-85.39
12320000,-84.5
12706667,-84.9
13093333,-84.57
13480000,-84.05
13866667,-84.15
14253333,-82.96
14640000,-83.76
15026667,-84.34
15413333,-83.59
15800000,-83.96
16186667,-83.62
16573333,-84.51
16960000,-84.15
17346667,-83.83
17733333,-85.09
18120000,-84.67
18506667,-84.78
18893333,-84.19
19280000,-84.79
19666667,-84.59
20053333,-84.73
20440000,-84.89
20826667,-84.94
21213333,-84.54
21600000,-85.22
21986667,-84.82
22373333,-84.91
22760000,-84.74
23146667,-84.76
23533333,-84.48
23920000,-83.75
24306667,-82.97
24693333,-81.18
25080000,-77.82
25466667,-71.84
25853333,-70.99
26240000,-75.9
26626667,-80.84
27013333,-81.92
27400000,-83.67
27786667,-84.72
28173333,-85.12
28560000,-84.95
28946667,-85.39
29333333,-85.49
29720000,-85.42
30106667,-85.36
30493333,-85.16
30880000,-84.98
31266667,-84.65
31653333,-84.51
32040000,-84.35
32426667,-83.83
32813333,-83.48
33200000,-82.47
33586667,-82.3
33973333,-81.76
34360000,-82.03
34746667,-81.36
35133333,-81.01
35520000,-80.91
35906667,-81.02
36293333,-80.94
36680000,-79.89
37066667,-79.25
37453333,-79.65
37840000,-78.52
38226667,-79.03
38613333,-78.17
39000000,-78.96
39386667,-77.27
39773333,-76.82
40160000,-77.46
40546667,-76.31
40933333,-75.1
41320000,-74.31
41706667,-72.95
42093333,-72.11
42480000,-70.91
42866667,-69.19
43253333,-67.6
43640000,-66.15
44026667,-64.29
44413333,-62.26
44800000,-60.18
45186667,-57.7
45573333,-55.65
45960000,-55.08
46346667,-55.89
46733333,-58.01
47120000,-60.33
47506667,-62.58
47893333,-64.4
48280000,-65.87
48666667,-67.41
49053333,-68.9
49440000,-70.07
49826667,-71.27
50213333,-72.32
50600000,-73.36
50986667,-74.52
51373333,-75.31
51760000,-76.01
52146667,-76.26
52533333,-76.43
52920000,-76.57
53306667,-77.21
53693333,-77.27
54080000,-76.47
54466667,-76.57
54853333,-76.57
55240000,-76.03
55626667,-76.13
56013333,-75.71
56400000,-75.27
56786667,-75.08
57173333,-74.59
57560000,-74.74
57946667,-74.27
58333333,-73.89
58720000,-73.41
59106667,-73.27
59493333,-72.7
59880000,-72.59
60266667,-72.38
60653333,-72.22
61040000,-71.71
61426667,-71.47
61813333,-71.07
62200000,-70.78
62586667,-70.39
62973333,-69.86
63360000,-69.75
63746667,-69.31
64133333,-68.99
64520000,-68.69
64906667,-67.98
65293333,-67.48
65680000,-67.03
66066667,-66.44
66453333,-65.64
66840000,-65.01
67226667,-64.29
67613333,-64
68000000,-64.3
68386667,-66.07
68773333,-69.25
69160000,-73.33
69546667,-78.92
69933333,-83.43
70320000,-82.35
70706667,-79.04
71093333,-78.01
71480000,-76.1
71866667,-75.21
72253333,-74.68
72640000,-73.23
73026667,-73.01
73413333,-72.49
73800000,-72.29
74186667,-72.03
74573333,-72
74960000,-71.43
75346667,-71.4
75733333,-71.26
76120000,-71.34
76506667,-70.88
76893333,-70.94
77280000,-70.95
77666667,-71.07
78053333,-71.15
78440000,-70.87
78826667,-71.28
79213333,-71.04
79600000,-71.46
79986667,-71.48
80373333,-71.31
80760000,-71.27
81146667,-71.68
81533333,-71.87
81920000,-71.83
82306667,-72.09
82693333,-72.26
83080000,-72.4
83466667,-72.45
83853333,-72.42
84240000,-72.45
84626667,-72.27
85013333,-72.37
85400000,-72.08
85786667,-71.71
86173333,-71.95
86560000,-71.47
86946667,-71.24
87333333,-71.24
87720000,-70.69
88106667,-70.48
88493333,-70.1
88880000,-69.72
89266667,-69.47
89653333,-69.05
90040000,-68.71
90426667,-68.25
90813333,-67.87
91200000,-67.38
91586667,-67.07
91973333,-66.77
92360000,-66.33
92746667,-65.97
93133333,-65.67
93520000,-65.1
93906667,-64.77
94293333,-64.3
