Trace Data,
10000000,-84.83
10386667,-85.85
10773333,-85.25
11160000,-85.17
11546667,-85.39
11933333,-85.02
12320000,-85.08
12706667,-83.89
13093333,-84.4
13480000,-84.69
13866667,-84
14253333,-84.28
14640000,-84.03
15026667,-83.76
15413333,-84.14
15800000,-84.46
16186667,-83.78
16573333,-84.14
16960000,-83.88
17346667,-84.82
17733333,-84.3
18120000,-84.66
18506667,-84.7
18893333,-84.4
19280000,-84.97
19666667,-85.35
20053333,-85.02
20440000,-84.75
20826667,-85.16
21213333,-84.66
21600000,-85.41
21986667,-85.42
22373333,-84.91
22760000,-85.14
23146667,-84.88
23533333,-84
23920000,-84.67
24306667,-82.28
24693333,-81.27
25080000,-77
25466667,-71.79
25853333,-70.69
26240000,-75.87
26626667,-80.14
27013333,-82.48
27400000,-83.93
27786667,-84.74
28173333,-84.91
28560000,-84.84
28946667,-85.34
29333333,-86.08
29720000,-85.52
30106667,-84.78
30493333,-85.98
30880000,-84.4
31266667,-84.75
31653333,-84.18
32040000,-83.87
32426667,-83.95
32813333,-83.05
33200000,-83.02
33586667,-82.52
33973333,-81.78
34360000,-81.79
34746667,-80.92
35133333,-80.59
35520000,-81.83
35906667,-81.28
36293333,-81.01
36680000,-79.58
37066667,-80.35
37453333,-79.13
37840000,-79.83
38226667,-79.34
38613333,-78.98
39000000,-78.27
39386667,-77.86
39773333,-77.42
40160000,-76.8
40546667,-75.78
40933333,-75.23
41320000,-74.39
41706667,-73.07
42093333,-72.05
42480000,-70.85
42866667,-69.3
43253333,-67.85
43640000,-65.91
44026667,-64
44413333,-62.03
44800000,-59.77
45186667,-57
45573333,-54.59
45960000,-53.99
46346667,-55.03
46733333,-57.5
47120000,-60.14
47506667,-62.36
47893333,-64.27
48280000,-65.82
48666667,-67.44
49053333,-68.76
49440000,-70.01
49826667,-71.46
50213333,-72.49
50600000,-73.03
50986667,-74.3
51373333,-75.34
51760000,-75.87
52146667,-76.25
52533333,-76.54
52920000,-76.75
53306667,-77.31
53693333,-76.45
54080000,-76.93
54466667,-76.48
54853333,-76.33
55240000,-76.04
55626667,-76.02
56013333,-75.66
56400000,-75.32
56786667,-74.89
57173333,-74.43
57560000,-74.29
57946667,-74.21
58333333,-73.74
58720000,-73.38
59106667,-73.05
59493333,-72.75
59880000,-72.62
60266667,-72.23
60653333,-72.08
61040000,-71.69
61426667,-71.32
61813333,-70.96
62200000,-70.58
62586667,-70.46
62973333,-70.16
63360000,-69.84
63746667,-69.26
64133333,-68.91
64520000,-68.49
64906667,-68.06
65293333,-67.37
65680000,-66.76
66066667,-66.31
66453333,-65.52
66840000,-64.74
67226667,-63.97
67613333,-63.7
68000000,-63.99
68386667,-65.93
68773333,-69.53
69160000,-74.13
69546667,-80.86
69933333,-84.2
70320000,-82.17
70706667,-79.62
71093333,-77.13
