Frequency_Hz,Amplitude
39643296.000000,-74.3628998
39990438.272000,-76.0117264
40337580.544000,-75.1057129
40684722.816000,-73.8116913
41031865.088000,-74.3609238
41379007.360000,-74.4503403
41726149.632000,-74.2483368
42073291.904000,-73.0447083
42420434.176000,-72.658577
42767576.448000,-72.350708
43114718.720000,-72.0266418
43461860.992000,-71.6519012
43809003.264000,-69.8063126
44156145.536000,-69.1336288
44503287.808000,-68.0858154
44850430.080000,-66.562355
45197572.352000,-65.1215134
45544714.624000,-63.3586235
45891856.896000,-61.5393181
46238999.168000,-59.1024551
46586141.440000,-56.4296684
46933283.712000,-53.0791054
47280425.984000,-51.4595871
47627568.256000,-52.1155853
47974710.528000,-55.0315056
48321852.800000,-58.2069817
48668995.072000,-60.500946
49016137.344000,-62.3358765
49363279.616000,-64.4236679
49710421.888000,-65.4700394
50057564.160000,-66.7866211
50404706.432000,-67.5854034
50751848.704000,-68.7313614
51098990.976000,-69.2528
51446133.248000,-69.5470505
51793275.520000,-70.5168076
52140417.792000,-71.1966476
52487560.064000,-70.6491089
52834702.336000,-70.9728241
53181844.608000,-71.1602936
53528986.880000,-71.4568405
53876129.152000,-71.5251312
54223271.424000,-71.0345612
54570413.696000,-71.3407288
54917555.968000,-70.2420425
55264698.240000,-70.7538452
55611840.512000,-70.8144302
55958982.784000,-70.1004639
56306125.056000,-70.6587372
56653267.328000,-70.3246994
57000409.600000,-70.1507874
57347551.872000,-70.1125488
57694694.144000,-69.9481354
58041836.416000,-69.7680435
58388978.688000,-70.2269821
58736120.960000,-70.1959381
59083263.232000,-69.9644089
59430405.504000,-69.1618042
59777547.776000,-69.5042877
60124690.048000,-69.3674698
60471832.320000,-69.2566681
60818974.592000,-68.7574692
61166116.864000,-68.6101379
61513259.136000,-69.1169662
61860401.408000,-68.7412262
62207543.680000,-68.1519241
62554685.952000,-68.3292999
62901828.224000,-67.7929611
63248970.496000,-67.8024139
63596112.768000,-67.6929779
63943255.040000,-67.1738586
64290397.312000,-66.668663
64637539.584000,-66.7971878
64984681.856000,-66.3940201
65331824.128000,-66.3065109
65678966.400000,-65.5911255
66026108.672000,-65.1165619
66373250.944000,-64.5409164
66720393.216000,-63.6007195
67067535.488000,-62.6054306
67414677.760000,-61.6881561
67761820.032000,-60.7365112
68108962.304000,-59.9071922
68456104.576000,-59.7572784
68803246.848000,-61.2016106
69150389.120000,-64.1158371
69497531.392000,-67.9154358
69844673.664000,-71.0913391
70191815.936000,-73.3909378
70538958.208000,-74.242012
70886100.480000,-74.9411011
71233242.752000,-74.4421692
71580385.024000,-73.0668716
71927527.296000,-72.947319
72274669.568000,-72.2819748
72621811.840000,-71.761673
72968954.112000,-71.1649094
73316096.384000,-70.6245499
73663238.656000,-71.0319519
74010380.928000,-70.4255829
74357523.200000,-70.4416275
74704665.472000,-69.7992249
75051807.744000,-70.1107712
75398950.016000,-69.6359711
75746092.288000,-69.257019
76093234.560000,-69.4315872
76440376.832000,-69.1815948
76787519.104000,-68.7856445
77134661.376000,-68.5149841
77481803.648000,-68.828949
77828945.920000,-69.4013901
78176088.192000,-68.6209335
78523230.464000,-68.5767517
78870372.736000,-69.0986938
79217515.008000,-68.8282547
79564657.280000,-68.9932632
79911799.552000,-69.1185455
80258941.824000,-69.2645798
80606084.096000,-68.9792786
80953226.368000,-68.4361496
81300368.640000,-68.7735825
81647510.912000,-69.279213
81994653.184000,-69.3274612
82341795.456000,-68.8535843
82688937.728000,-69.0248108
83036080.000000,-69.2295227
83383222.272000,-68.7535248
83730364.544000,-68.6707153
84077506.816000,-68.7070847
84424649.088000,-68.4412003
84771791.360000,-68.0501328
85118933.632000,-67.5127487
85466075.904000,-67.4694214
85813218.176000,-67.3504562
86160360.448000,-66.8382111
86507502.720000,-66.5847473
86854644.992000,-66.2095947
87201787.264000,-65.6103363
87548929.536000,-65.8713913
87896071.808000,-64.4901886
88243214.080000,-64.4113998
88590356.352000,-64.1801987
88937498.624000,-63.2619629
89284640.896000,-63.0414124
89631783.168000,-63.1310883
89978925.440000,-63.1582527
90326067.712000,-62.6344643
90673209.984000,-63.050602
91020352.256000,-63.9626541
91367494.528000,-63.6339531
91714636.800000,-64.168869
92061779.072000,-64.0581055
92408921.344000,-64.0213699
92756063.616000,-64.4575043
93103205.888000,-64.7697296
93450348.160000,-65.0328827
93797490.432000,-65.2893906
94144632.704000,-65.8346024
94491774.976000,-66.0307693
94838917.248000,-66.5965652
95186059.520000,-66.8932495
95533201.792000,-67.5619583
95880344.064000,-67.908699
96227486.336000,-68.2377701
96574628.608000,-68.2822495
96921770.880000,-68.6819611
97268913.152000,-68.999321
97616055.424000,-69.1222687
97963197.696000,-68.5754013
98310339.968000,-68.4986877
98657482.240000,-68.4954681
99004624.512000,-68.29496
99351766.784000,-67.831398
99698909.056000,-68.2688599
100046051.328000,-68.2081146
100393193.600000,-67.877388
100740335.872000,-67.5323105
101087478.144000,-68.0343399
101434620.416000,-66.9272156
101781762.688000,-67.2183151
102128904.960000,-65.8103867
102476047.232000,-66.226799
102823189.504000,-65.2524719
103170331.776000,-64.8471222
103517474.048000,-64.4766769
103864616.320000,-63.981575
104211758.592000,-63.0122795
104558900.864000,-61.8541718
104906043.136000,-61.2745094
105253185.408000,-59.7774429
105600327.680000,-58.8120689
105947469.952000,-57.6886826
106294612.224000,-56.4440765
106641754.496000,-55.1256294
106988896.768000,-54.0637741
107336039.040000,-53.0762711
107683181.312000,-52.197979
108030323.584000,-51.5540886
108377465.856000,-51.2813034
108724608.128000,-51.1302261
109071750.400000,-51.132637
109418892.672000,-51.3128166
109766034.944000,-51.6053314
110113177.216000,-51.8358612
110460319.488000,-52.0629387
110807461.760000,-52.3980103
111154604.032000,-52.7299232
111501746.304000,-52.8891563
111848888.576000,-53.0919724
112196030.848000,-53.3728523
112543173.120000,-53.5707397
112890315.392000,-53.8039246
113237457.664000,-54.0009689
113584599.936000,-54.1655769
113931742.208000,-54.3980942
114278884.480000,-54.5633621
114626026.752000,-54.7231102
114973169.024000,-54.9177055
115320311.296000,-55.0450172
115667453.568000,-55.1046638
116014595.840000,-55.3384399
116361738.112000,-55.6332436
116708880.384000,-55.7211113
117056022.656000,-55.8597298
117403164.928000,-56.1861153
117750307.200000,-56.1693077
118097449.472000,-56.3535614
118444591.744000,-56.4670525
118791734.016000,-56.6935387
119138876.288000,-56.7647438
119486018.560000,-56.745842
119833160.832000,-56.9984322
120180303.104000,-57.3034782
120527445.376000,-57.5175476
120874587.648000,-57.532238
121221729.920000,-58.2113724
121568872.192000,-58.5242004
121916014.464000,-59.0644302
122263156.736000,-59.3954124
122610299.008000,-59.5798683
122957441.280000,-60.1337547
123304583.552000,-60.7385368
123651725.824000,-61.2402802
123998868.096000,-61.4630775
124346010.368000,-61.6715279
124693152.640000,-61.5353737
125040294.912000,-60.2153511
125387437.184000,-61.9003067
125734579.456000,-62.4627838
126081721.728000,-62.7039909
126428864.000000,-62.509201
126776006.272000,-61.9982262
127123148.544000,-62.1852341
127470290.816000,-62.3583755
127817433.088000,-61.8514023
128164575.360000,-61.8043137
128511717.632000,-62.0080795
128858859.904000,-61.4220543
129206002.176000,-61.1198959
129553144.448000,-61.1512756
129900286.720000,-61.0628777
130247428.992000,-60.5094261
130594571.264000,-60.5754051
130941713.536000,-60.3739548
131288855.808000,-60.6605415
131635998.080000,-60.6382179
131983140.352000,-60.8143692
132330282.624000,-61.17976
132677424.896000,-61.5308495
133024567.168000,-61.9501228
133371709.440000,-62.9455833
133718851.712000,-63.1940384
134065993.984000,-63.4958992
134413136.256000,-64.0997238
134760278.528000,-64.5351562
135107420.800000,-65.2908707
135454563.072000,-65.6615677
135801705.344000,-65.903923
136148847.616000,-66.2444763
136495989.888000,-66.5392151
136843132.160000,-66.9051208
137190274.432000,-67.3845978
137537416.704000,-67.3932648
137884558.976000,-67.2163391
138231701.248000,-67.0809708
138578843.520000,-67.011261
138925985.792000,-66.8824005
139273128.064000,-66.8116989
139620270.336000,-66.702301
139967412.608000,-66.7592087
140314554.880000,-66.4943161
140661697.152000,-65.7053528
141008839.424000,-65.7972031
141355981.696000,-65.9126587
141703123.968000,-65.4790421
142050266.240000,-65.6515427
142397408.512000,-65.1699982
142744550.784000,-64.6040497
143091693.056000,-64.5861969
143438835.328000,-64.5374451
143785977.600000,-64.4701233
144133119.872000,-64.320282
144480262.144000,-64.594429
144827404.416000,-64.7784042
145174546.688000,-64.6845245
145521688.960000,-64.8418808
145868831.232000,-65.1783218
146215973.504000,-65.5873795
146563115.776000,-66.4041214
146910258.048000,-66.3436737
147257400.320000,-66.3262634
147604542.592000,-67.2814178
147951684.864000,-67.6087036
148298827.136000,-67.8228302
148645969.408000,-67.6547928
148993111.680000,-67.7460022
149340253.952000,-68.6178207
149687396.224000,-68.6313629
150034538.496000,-67.3303299
150381680.768000,-69.2262497
150728823.040000,-70.0153809
151075965.312000,-70.5936127
151423107.584000,-71.80159
151770249.856000,-71.4545593
152117392.128000,-71.8117905
152464534.400000,-72.9377136
152811676.672000,-72.7011566
153158818.944000,-73.1473999
153505961.216000,-72.7163467
153853103.488000,-72.9456482
154200245.760000,-73.863739
154547388.032000,-74.3231964
154894530.304000,-73.8959351
155241672.576000,-74.0690384
155588814.848000,-73.3571548
155935957.120000,-74.2392502
156283099.392000,-73.4121246
156630241.664000,-73.4821472
156977383.936000,-74.0065155
157324526.208000,-73.1781235
157671668.480000,-73.3936844
158018810.752000,-73.2630539
158365953.024000,-72.7156754
158713095.296000,-72.7543945
159060237.568000,-72.8231888
159407379.840000,-72.125824
159754522.112000,-71.0616837
160101664.384000,-70.9036026
160448806.656000,-70.2181473
160795948.928000,-70.9709625
161143091.200000,-70.0435867
161490233.472000,-70.2163162
161837375.744000,-69.6522751
162184518.016000,-69.688858
162531660.288000,-69.1377792
162878802.560000,-69.1160889
163225944.832000,-68.6878891
163573087.104000,-68.6608658
163920229.376000,-68.4696808
164267371.648000,-67.8436432
164614513.920000,-67.6045227
164961656.192000,-67.2682343
165308798.464000,-67.8482513
165655940.736000,-67.2758789
166003083.008000,-66.8249283
166350225.280000,-66.5628052
166697367.552000,-66.6151428
167044509.824000,-66.1027832
167391652.096000,-66.0484161
167738794.368000,-65.8305664
168085936.640000,-65.5184174
168433078.912000,-64.8117599
168780221.184000,-64.971077
169127363.456000,-64.6793823
169474505.728000,-64.6996994
169821648.000000,-63.9444427
170168790.272000,-63.8238182
170515932.544000,-63.5574722
170863074.816000,-63.0296326
171210217.088000,-62.6991882
171557359.360000,-62.6209908
171904501.632000,-62.4367828
172251643.904000,-61.7703743
172598786.176000,-61.4936829
172945928.448000,-60.9495354
173293070.720000,-60.7787476
173640212.992000,-60.3456192
173987355.264000,-60.1817551
174334497.536000,-59.6159439
174681639.808000,-59.3533096
175028782.080000,-58.7524109
175375924.352000,-58.6809807
175723066.624000,-58.3818054
176070208.896000,-58.1137581
176417351.168000,-57.7858505
176764493.440000,-57.4768486
177111635.712000,-57.3196678
177458777.984000,-56.9893799
177805920.256000,-56.9755898
178153062.528000,-56.8016205
178500204.800000,-56.7665787
178847347.072000,-56.544693
179194489.344000,-56.315834
179541631.616000,-56.3575249
179888773.888000,-56.3426285
180235916.160000,-56.2123146
180583058.432000,-56.1926804
180930200.704000,-56.2018967
181277342.976000,-56.2673645
181624485.248000,-56.0895462
181971627.520000,-56.148983
182318769.792000,-56.2470474
182665912.064000,-56.2113533
183013054.336000,-56.3538437
183360196.608000,-56.5028687
183707338.880000,-56.3608932
184054481.152000,-56.4483871
184401623.424000,-56.6029243
184748765.696000,-56.7794189
185095907.968000,-56.969696
185443050.240000,-56.916069
185790192.512000,-57.0330353
186137334.784000,-57.2654114
186484477.056000,-57.4724007
186831619.328000,-57.7456703
187178761.600000,-57.9253273
187525903.872000,-58.0704842
187873046.144000,-58.642086
188220188.416000,-58.7385292
188567330.688000,-59.1258469
188914472.960000,-59.5459976
189261615.232000,-59.4807777
189608757.504000,-59.7408104
189955899.776000,-60.0394173
190303042.048000,-59.8978806
190650184.320000,-60.1166611
190997326.592000,-60.3224144
191344468.864000,-59.9977036
191691611.136000,-59.9300041
192038753.408000,-59.4615173
192385895.680000,-59.4059258
192733037.952000,-58.5231705
193080180.224000,-58.3092461
193427322.496000,-57.7582245
193774464.768000,-57.080574
194121607.040000,-56.4727783
194468749.312000,-55.9183998
194815891.584000,-55.2630157
195163033.856000,-54.6464081
195510176.128000,-53.737381
195857318.400000,-52.9880638
196204460.672000,-52.1930809
196551602.944000,-51.408783
196898745.216000,-50.6194
197245887.488000,-49.7782478
197593029.760000,-48.8976517
197940172.032000,-48.0063744
198287314.304000,-47.3765564
198634456.576000,-46.7124825
198981598.848000,-46.0889053
199328741.120000,-45.5864792
199675883.392000,-45.2421837
200023025.664000,-45.0063477
200370167.936000,-44.7731934
200717310.208000,-44.7367973
201064452.480000,-44.7968025
201411594.752000,-44.8847351
201758737.024000,-44.9780273
202105879.296000,-45.1553268
202453021.568000,-45.3687134
202800163.840000,-45.5199852
203147306.112000,-45.6818161
203494448.384000,-45.8491058
203841590.656000,-46.0391579
204188732.928000,-46.130043
204535875.200000,-46.2365608
204883017.472000,-46.5202255
205230159.744000,-46.5382347
205577302.016000,-46.6766167
205924444.288000,-46.8064041
206271586.560000,-46.9431648
206618728.832000,-47.0093765
206965871.104000,-47.1049728
207313013.376000,-47.3612137
207660155.648000,-47.3733406
208007297.920000,-47.5041733
208354440.192000,-47.6662445
208701582.464000,-47.848732
209048724.736000,-47.9768181
209395867.008000,-48.1741028
209743009.280000,-48.2928581
210090151.552000,-48.5234261
210437293.824000,-48.6301498
210784436.096000,-48.8003159
211131578.368000,-49.084404
211478720.640000,-49.2308197
211825862.912000,-49.3670006
212173005.184000,-49.6283684
212520147.456000,-49.9432297
212867289.728000,-50.0253754
213214432.000000,-50.3406868
213561574.272000,-50.6188049
213908716.544000,-50.8016129
214255858.816000,-51.0085297
214603001.088000,-51.3560486
214950143.360000,-51.6527672
215297285.632000,-51.8839684
215644427.904000,-52.2263222
215991570.176000,-52.5683289
216338712.448000,-52.8575363
216685854.720000,-53.2223053
217032996.992000,-53.6399956
217380139.264000,-54.0832558
217727281.536000,-54.44701
218074423.808000,-54.8711548
218421566.080000,-55.3270035
218768708.352000,-55.7633705
219115850.624000,-56.4568748
219462992.896000,-57.1414375
219810135.168000,-57.7245941
220157277.440000,-58.6499214
220504419.712000,-58.9066582
220851561.984000,-59.2878265
221198704.256000,-59.1606979
221545846.528000,-58.319622
221892988.800000,-57.7447433
222240131.072000,-56.5504761
222587273.344000,-55.527565
222934415.616000,-54.2308273
223281557.888000,-53.1021042
223628700.160000,-52.1201553
223975842.432000,-51.1137543
224322984.704000,-50.2620964
224670126.976000,-49.4251404
225017269.248000,-48.6577606
225364411.520000,-47.9651718
225711553.792000,-47.3756752
226058696.064000,-46.7786407
226405838.336000,-46.2526627
226752980.608000,-45.7786064
227100122.880000,-45.2858009
227447265.152000,-44.9153709
227794407.424000,-44.4530754
228141549.696000,-44.1549339
228488691.968000,-43.8222084
228835834.240000,-43.4599495
229182976.512000,-43.0984383
229530118.784000,-42.8630638
229877261.056000,-42.6026001
230224403.328000,-42.2893791
230571545.600000,-42.0595551
230918687.872000,-41.8340454
231265830.144000,-41.6033707
231612972.416000,-41.3450928
231960114.688000,-41.1541672
232307256.960000,-40.9919052
232654399.232000,-40.7898369
233001541.504000,-40.6327553
233348683.776000,-40.499073
233695826.048000,-40.3725014
234042968.320000,-40.2021027
234390110.592000,-40.1302757
234737252.864000,-40.0645332
235084395.136000,-40.0063705
235431537.408000,-39.8859482
235778679.680000,-39.8689651
236125821.952000,-39.8900833
236472964.224000,-39.854351
236820106.496000,-39.8524895
237167248.768000,-39.914238
237514391.040000,-40.0077972
237861533.312000,-40.0331688
238208675.584000,-40.1450882
238555817.856000,-40.2343903
238902960.128000,-40.3725662
239250102.400000,-40.4505539
239597244.672000,-40.6268425
239944386.944000,-40.8250999
240291529.216000,-41.0080719
240638671.488000,-41.2117424
240985813.760000,-41.4300156
241332956.032000,-41.6785698
241680098.304000,-41.9499054
242027240.576000,-42.2076836
242374382.848000,-42.515049
242721525.120000,-42.8505707
243068667.392000,-43.1183052
243415809.664000,-43.4860382
243762951.936000,-43.9453659
244110094.208000,-44.2771759
244457236.480000,-44.6535912
244804378.752000,-45.1251755
245151521.024000,-45.5667229
245498663.296000,-46.0365601
245845805.568000,-46.5611191
246192947.840000,-47.023922
246540090.112000,-47.5977554
246887232.384000,-48.1680717
247234374.656000,-48.7010918
247581516.928000,-49.3141594
247928659.200000,-49.772316
248275801.472000,-50.3744125
248622943.744000,-51.0789185
248970086.016000,-51.7223511
249317228.288000,-52.2544365
249664370.560000,-52.9365578
250011512.832000,-53.5847015
250358655.104000,-54.264534
250705797.376000,-55.0187836
251052939.648000,-55.716404
251400081.920000,-56.638401
251747224.192000,-57.3595581
252094366.464000,-57.8736
252441508.736000,-58.8974495
252788651.008000,-59.5680046
253135793.280000,-60.2149696
253482935.552000,-60.8392029
253830077.824000,-61.3219528
254177220.096000,-61.5262184
254524362.368000,-61.5782509
254871504.640000,-60.9721298
255218646.912000,-60.3612709
255565789.184000,-59.4560318
255912931.456000,-58.5679398
256260073.728000,-57.4751968
256607216.000000,-56.5424843
256954358.272000,-55.4407082
257301500.544000,-54.7151222
257648642.816000,-53.6242599
257995785.088000,-52.7837029
258342927.360000,-51.8190422
