Frequency_Hz,Amplitude
39643296.000000,-74.5891342
39990438.272000,-74.8001022
40337580.544000,-75.3032074
40684722.816000,-74.8015976
41031865.088000,-74.1258926
41379007.360000,-74.8240128
41726149.632000,-73.4565887
42073291.904000,-73.2585678
42420434.176000,-73.4013062
42767576.448000,-72.2565308
43114718.720000,-71.8696899
43461860.992000,-70.9255371
43809003.264000,-70.3690796
44156145.536000,-68.7926559
44503287.808000,-68.2344666
44850430.080000,-66.7254944
45197572.352000,-64.8465729
45544714.624000,-63.3157997
45891856.896000,-61.7684937
46238999.168000,-59.165802
46586141.440000,-56.5063858
46933283.712000,-53.1508598
47280425.984000,-51.4192123
47627568.256000,-52.1093369
47974710.528000,-55.1100006
48321852.800000,-57.9849358
48668995.072000,-60.6239433
49016137.344000,-62.4206657
49363279.616000,-63.8708229
49710421.888000,-65.5103073
50057564.160000,-66.4327011
50404706.432000,-67.6119766
50751848.704000,-68.3605576
51098990.976000,-68.7533951
51446133.248000,-69.8755035
51793275.520000,-69.976799
52140417.792000,-70.0721817
52487560.064000,-71.0355377
52834702.336000,-70.7419434
53181844.608000,-70.5653152
53528986.880000,-71.2271347
53876129.152000,-71.6687851
54223271.424000,-71.0332413
54570413.696000,-71.2358856
54917555.968000,-70.513382
55264698.240000,-71.5666351
55611840.512000,-70.9934692
55958982.784000,-70.9144974
56306125.056000,-70.9482727
56653267.328000,-70.4522018
57000409.600000,-70.3040924
57347551.872000,-70.4298859
57694694.144000,-70.6247559
58041836.416000,-70.4469986
58388978.688000,-70.1952744
58736120.960000,-70.41539
59083263.232000,-69.8422165
59430405.504000,-69.9062576
59777547.776000,-69.4342041
60124690.048000,-69.9855499
60471832.320000,-68.9947205
60818974.592000,-69.1703491
61166116.864000,-69.7184525
61513259.136000,-68.6516113
61860401.408000,-68.4123764
62207543.680000,-68.1437683
62554685.952000,-67.8764496
62901828.224000,-68.8183212
63248970.496000,-67.4228592
63596112.768000,-67.2778015
63943255.040000,-66.8289337
64290397.312000,-66.5555038
64637539.584000,-66.5342789
64984681.856000,-66.2766647
65331824.128000,-65.7354431
65678966.400000,-65.0516052
66026108.672000,-64.9505844
66373250.944000,-63.9682388
66720393.216000,-63.585186
67067535.488000,-62.8920822
67414677.760000,-61.8941422
67761820.032000,-60.6669579
68108962.304000,-60.0479393
68456104.576000,-59.8809128
68803246.848000,-61.3531647
69150389.120000,-64.2114716
69497531.392000,-67.9853821
69844673.664000,-71.6210251
70191815.936000,-73.3049698
70538958.208000,-74.4932098
70886100.480000,-74.6782913
71233242.752000,-74.3324661
71580385.024000,-73.049324
71927527.296000,-73.3316498
72274669.568000,-72.4255524
72621811.840000,-72.441246
72968954.112000,-71.78302
73316096.384000,-70.7810364
73663238.656000,-70.284523
74010380.928000,-70.1866989
74357523.200000,-69.8166885
74704665.472000,-69.6588593
75051807.744000,-69.6446152
75398950.016000,-69.8142929
75746092.288000,-68.8457031
76093234.560000,-69.1891251
76440376.832000,-69.0385208
76787519.104000,-68.9189682
77134661.376000,-69.0792389
77481803.648000,-68.413765
77828945.920000,-68.670639
78176088.192000,-68.8408813
78523230.464000,-68.9155197
78870372.736000,-69.4743652
79217515.008000,-68.5167694
79564657.280000,-68.5507202
79911799.552000,-69.4907837
80258941.824000,-69.4292297
80606084.096000,-69.3813324
80953226.368000,-69.5204926
81300368.640000,-68.9423828
81647510.912000,-68.772728
81994653.184000,-69.6085739
82341795.456000,-68.8707123
82688937.728000,-69.223526
83036080.000000,-69.210083
83383222.272000,-68.8414841
83730364.544000,-68.860321
84077506.816000,-68.3991623
84424649.088000,-68.4639587
84771791.360000,-68.2013245
85118933.632000,-67.7404099
85466075.904000,-67.7197418
85813218.176000,-67.119873
86160360.448000,-67.182457
86507502.720000,-66.5887756
86854644.992000,-66.1788025
87201787.264000,-65.646347
87548929.536000,-65.5026398
87896071.808000,-64.9400101
88243214.080000,-64.1898956
88590356.352000,-63.8456841
88937498.624000,-63.5734444
89284640.896000,-63.1973534
89631783.168000,-62.8262138
89978925.440000,-63.1503525
90326067.712000,-63.2332535
90673209.984000,-63.4387054
91020352.256000,-63.4964447
91367494.528000,-64.0720444
91714636.800000,-64.0728149
92061779.072000,-64.6205368
92408921.344000,-64.3681793
92756063.616000,-64.4970551
93103205.888000,-65.0222549
93450348.160000,-64.9128113
93797490.432000,-65.3498077
94144632.704000,-65.5701065
94491774.976000,-66.6314392
94838917.248000,-66.4791641
95186059.520000,-67.2069092
95533201.792000,-67.2575302
95880344.064000,-68.1142578
96227486.336000,-68.1005402
