Frequency_Hz,Amplitude
39643296.000000,-75.286972
39990438.272000,-75.1540298
40337580.544000,-74.258812
40684722.816000,-74.2420273
41031865.088000,-74.3497696
41379007.360000,-74.0203705
41726149.632000,-74.2494125
42073291.904000,-73.6740723
42420434.176000,-73.2247772
42767576.448000,-72.8405609
43114718.720000,-72.1827393
43461860.992000,-70.8809967
43809003.264000,-70.8880005
44156145.536000,-69.5596008
44503287.808000,-67.5600815
44850430.080000,-66.8887939
45197572.352000,-65.1535263
45544714.624000,-63.3846397
45891856.896000,-61.5399704
46238999.168000,-59.2763214
46586141.440000,-56.3081055
46933283.712000,-53.1430626
47280425.984000,-51.3904724
47627568.256000,-52.0296059
47974710.528000,-54.9257393
48321852.800000,-58.0807037
48668995.072000,-60.4950027
49016137.344000,-62.4588852
49363279.616000,-63.722538
49710421.888000,-65.7124786
50057564.160000,-66.3905869
50404706.432000,-67.9433365
50751848.704000,-67.8912735
51098990.976000,-68.726532
51446133.248000,-69.6123199
51793275.520000,-69.7728271
52140417.792000,-71.0310211
52487560.064000,-70.4085999
52834702.336000,-71.0144196
53181844.608000,-70.4641037
53528986.880000,-70.660202
53876129.152000,-71.3360443
54223271.424000,-71.0827179
54570413.696000,-71.1869583
54917555.968000,-71.2498779
55264698.240000,-70.5047302
55611840.512000,-70.6270142
55958982.784000,-70.5299072
56306125.056000,-70.1713104
56653267.328000,-69.9896317
57000409.600000,-70.2366638
57347551.872000,-70.6971207
57694694.144000,-70.1305618
58041836.416000,-70.7886353
58388978.688000,-70.3304825
58736120.960000,-69.6259766
59083263.232000,-69.8011551
59430405.504000,-69.5703201
59777547.776000,-69.4697723
60124690.048000,-69.3472977
60471832.320000,-68.9953232
60818974.592000,-69.2586594
61166116.864000,-68.9567642
61513259.136000,-68.7695999
61860401.408000,-68.8833542
62207543.680000,-68.2929153
62554685.952000,-68.2907486
62901828.224000,-68.1994171
63248970.496000,-67.6130371
63596112.768000,-67.6139832
63943255.040000,-67.3064346
64290397.312000,-67.0435944
64637539.584000,-66.4216156
64984681.856000,-66.0313721
65331824.128000,-65.3921661
65678966.400000,-65.30896
66026108.672000,-65.0207825
66373250.944000,-64.5080338
66720393.216000,-63.539814
67067535.488000,-63.0032425
67414677.760000,-61.8621292
67761820.032000,-60.7471924
68108962.304000,-59.7362823
68456104.576000,-59.6319046
68803246.848000,-61.3964729
69150389.120000,-64.0378799
69497531.392000,-67.6845703
69844673.664000,-70.3077393
70191815.936000,-73.0216827
70538958.208000,-75.3266373
70886100.480000,-74.6286087
71233242.752000,-74.782341
71580385.024000,-73.666748
71927527.296000,-72.660553
72274669.568000,-72.5984268
72621811.840000,-72.4444504
72968954.112000,-70.9787979
73316096.384000,-70.9216309
73663238.656000,-70.2644119
74010380.928000,-70.9470215
74357523.200000,-69.9972229
74704665.472000,-69.0909348
75051807.744000,-69.2611008
75398950.016000,-69.0536118
75746092.288000,-68.9988098
76093234.560000,-69.2785721
76440376.832000,-69.3672867
76787519.104000,-68.2140198
77134661.376000,-69.5767059
77481803.648000,-69.2307053
77828945.920000,-69.1444397
78176088.192000,-68.9363174
78523230.464000,-69.013855
78870372.736000,-69.0420227
79217515.008000,-69.5016785
79564657.280000,-68.7321167
79911799.552000,-69.4533997
80258941.824000,-69.5974121
80606084.096000,-69.1052246
80953226.368000,-69.1959305
81300368.640000,-69.154892
81647510.912000,-70.1556854
81994653.184000,-68.9040909
82341795.456000,-69.0315094
82688937.728000,-69.492218
83036080.000000,-68.7732239
83383222.272000,-68.9403763
83730364.544000,-68.8230209
84077506.816000,-68.6223907
84424649.088000,-68.0777054
