Frequency_Hz,Amplitude
39643296.000000,-75.1802979
39990438.272000,-75.1194916
40337580.544000,-75.7981567
40684722.816000,-74.3668671
41031865.088000,-75.303299
41379007.360000,-74.5611649
41726149.632000,-72.9778595
42073291.904000,-73.4667969
42420434.176000,-72.6092911
42767576.448000,-73.7232819
43114718.720000,-71.3857956
43461860.992000,-71.1157227
43809003.264000,-70.2005386
44156145.536000,-69.0331726
44503287.808000,-68.0434265
44850430.080000,-66.9059372
45197572.352000,-65.3285065
45544714.624000,-63.6580315
45891856.896000,-61.5987206
46238999.168000,-59.1577835
46586141.440000,-56.3444214
46933283.712000,-52.9863358
47280425.984000,-51.4314728
47627568.256000,-52.1900749
47974710.528000,-55.1484642
48321852.800000,-58.0609169
48668995.072000,-60.6381493
49016137.344000,-62.4459801
49363279.616000,-64.2084198
49710421.888000,-65.6594391
50057564.160000,-66.795929
50404706.432000,-67.4291153
50751848.704000,-68.1680756
51098990.976000,-68.5562286
51446133.248000,-69.7339935
51793275.520000,-70.4514694
52140417.792000,-69.7307968
52487560.064000,-70.3327942
52834702.336000,-70.8657913
53181844.608000,-70.3725357
53528986.880000,-71.2389984
53876129.152000,-71.4344101
54223271.424000,-70.9906921
54570413.696000,-70.368103
54917555.968000,-70.6546478
55264698.240000,-71.0792236
55611840.512000,-71.1205215
55958982.784000,-70.6134033
56306125.056000,-71.1929855
56653267.328000,-71.3118973
57000409.600000,-70.9252777
57347551.872000,-70.6843948
57694694.144000,-70.3067245
58041836.416000,-70.4314651
58388978.688000,-69.7752609
58736120.960000,-69.2357559
59083263.232000,-69.3648071
59430405.504000,-69.4568863
59777547.776000,-69.8320236
60124690.048000,-69.1327667
60471832.320000,-69.4764557
60818974.592000,-69.4482498
61166116.864000,-68.6206512
61513259.136000,-68.6414185
61860401.408000,-68.973465
62207543.680000,-68.8945236
62554685.952000,-67.7465515
62901828.224000,-68.1846771
63248970.496000,-68.2270889
63596112.768000,-67.2759094
63943255.040000,-67.1917572
64290397.312000,-66.6123505
64637539.584000,-67.0951843
64984681.856000,-66.1763611
65331824.128000,-65.9161072
65678966.400000,-65.4919052
66026108.672000,-64.8058548
66373250.944000,-64.2678604
66720393.216000,-63.592968
67067535.488000,-62.3313599
67414677.760000,-61.8191643
67761820.032000,-61.0635071
68108962.304000,-59.7874985
68456104.576000,-60.0239487
68803246.848000,-61.3995209
69150389.120000,-64.0113297
69497531.392000,-67.6396332
69844673.664000,-70.5047531
70191815.936000,-72.8957825
70538958.208000,-74.6425323
70886100.480000,-75.5437012
71233242.752000,-73.6991119
71580385.024000,-73.8333054
71927527.296000,-73.0873184
72274669.568000,-72.5100021
72621811.840000,-72.4009628
72968954.112000,-72.000061
73316096.384000,-71.4194946
73663238.656000,-71.254982
74010380.928000,-70.0992432
74357523.200000,-69.9083633
74704665.472000,-69.8287964
75051807.744000,-69.8170013
75398950.016000,-69.3880692
75746092.288000,-69.6627808
76093234.560000,-69.2952499
76440376.832000,-69.5619354
76787519.104000,-68.8034897
77134661.376000,-68.9347305
77481803.648000,-69.8535233
77828945.920000,-68.8421173
78176088.192000,-69.0456543
78523230.464000,-69.1327591
78870372.736000,-68.5519028
79217515.008000,-69.1869278
79564657.280000,-68.7759552
79911799.552000,-69.0255661
80258941.824000,-69.007988
80606084.096000,-69.4508667
80953226.368000,-69.4884186
81300368.640000,-68.5875168
81647510.912000,-68.8097916
81994653.184000,-69.1065979
82341795.456000,-69.3658066
82688937.728000,-69.3622818
83036080.000000,-69.2573395
83383222.272000,-68.9279099
83730364.544000,-68.603775
84077506.816000,-68.1886368
84424649.088000,-67.6647873
84771791.360000,-68.0038757
85118933.632000,-68.0238342
85466075.904000,-67.750618
85813218.176000,-67.5360413
86160360.448000,-66.5330887
86507502.720000,-66.6702423
86854644.992000,-66.5410767
87201787.264000,-66.0878601
87548929.536000,-65.3453217
87896071.808000,-65.1136398
88243214.080000,-64.2186279
88590356.352000,-64.0312958
88937498.624000,-63.6382599
89284640.896000,-63.1405907
89631783.168000,-63.0412903
89978925.440000,-63.14505
90326067.712000,-62.9340134
90673209.984000,-63.4546204
91020352.256000,-63.5437279
91367494.528000,-63.763813
91714636.800000,-64.3748932
92061779.072000,-64.4499969
92408921.344000,-64.2020645
92756063.616000,-64.8547287
93103205.888000,-64.5964355
93450348.160000,-65.3339996
93797490.432000,-65.6115417
94144632.704000,-65.467308
94491774.976000,-66.3378067
94838917.248000,-66.7178421
95186059.520000,-66.9511871
95533201.792000,-67.3308945
95880344.064000,-68.057312
96227486.336000,-69.0942078
96574628.608000,-68.34832
96921770.880000,-68.3697052
97268913.152000,-69.3054123
97616055.424000,-68.8664474
97963197.696000,-69.0511856
98310339.968000,-69.1009979
98657482.240000,-68.6456299
99004624.512000,-68.6159363
99351766.784000,-68.1271896
99698909.056000,-68.2549667
100046051.328000,-68.0294113
100393193.600000,-67.9665833
100740335.872000,-67.4349365
101087478.144000,-67.516243
101434620.416000,-66.8021393
101781762.688000,-66.6320801
102128904.960000,-67.1770706
102476047.232000,-66.3173676
102823189.504000,-65.7964783
103170331.776000,-65.3420334
103517474.048000,-64.6388855
103864616.320000,-63.6919594
104211758.592000,-63.0847092
104558900.864000,-62.2560883
104906043.136000,-61.2984543
105253185.408000,-59.8836441
105600327.680000,-58.8910942
105947469.952000,-57.5665436
106294612.224000,-56.2865639
106641754.496000,-55.0583076
106988896.768000,-54.0767822
107336039.040000,-52.9704781
107683181.312000,-52.2265015
108030323.584000,-51.5570183
108377465.856000,-51.2945366
108724608.128000,-51.2269516
109071750.400000,-51.1744576
109418892.672000,-51.2663727
109766034.944000,-51.5641365
110113177.216000,-51.841114
110460319.488000,-52.1408005
110807461.760000,-52.3562889
111154604.032000,-52.6094055
111501746.304000,-52.8487968
111848888.576000,-53.1658478
112196030.848000,-53.4332581
112543173.120000,-53.5158653
112890315.392000,-53.7707977
113237457.664000,-53.9010048
113584599.936000,-54.1809311
113931742.208000,-54.3093452
114278884.480000,-54.4319115
114626026.752000,-54.5935745
114973169.024000,-54.8964996
115320311.296000,-55.0421143
115667453.568000,-55.2322083
116014595.840000,-55.4358597
116361738.112000,-55.5269966
116708880.384000,-55.8388748
117056022.656000,-55.8153191
117403164.928000,-55.9895935
117750307.200000,-55.9843254
118097449.472000,-56.3430748
118444591.744000,-56.4418869
118791734.016000,-56.5609436
119138876.288000,-56.6985207
119486018.560000,-56.825222
119833160.832000,-56.9146843
120180303.104000,-57.2825279
120527445.376000,-57.5396652
120874587.648000,-57.6232376
121221729.920000,-58.0889587
121568872.192000,-58.3133125
121916014.464000,-58.7236862
