Frequency_Hz,Amplitude
39643296.000000,-75.4301682
39990438.272000,-75.4538651
40337580.544000,-75.672348
40684722.816000,-74.5335159
41031865.088000,-74.5359039
41379007.360000,-75.3797913
41726149.632000,-75.028038
42073291.904000,-74.0052567
42420434.176000,-72.962616
42767576.448000,-72.5803833
43114718.720000,-72.281105
43461860.992000,-71.3646622
43809003.264000,-69.765564
44156145.536000,-68.7266235
44503287.808000,-67.7841492
44850430.080000,-66.529007
45197572.352000,-64.969574
45544714.624000,-63.4125938
45891856.896000,-61.269062
46238999.168000,-59.26651
46586141.440000,-56.3959007
46933283.712000,-53.0158272
47280425.984000,-51.4099274
47627568.256000,-52.1766968
47974710.528000,-54.9544296
48321852.800000,-58.3557014
48668995.072000,-60.3187943
49016137.344000,-62.625946
49363279.616000,-63.9898643
49710421.888000,-65.3222885
50057564.160000,-67.2790298
50404706.432000,-67.2789841
50751848.704000,-68.1578979
51098990.976000,-69.0136185
51446133.248000,-69.4034805
51793275.520000,-69.7577362
52140417.792000,-71.2472305
52487560.064000,-70.3440857
52834702.336000,-70.6185074
53181844.608000,-71.3549347
53528986.880000,-70.7302704
53876129.152000,-71.0409317
54223271.424000,-71.1853104
54570413.696000,-71.1434097
54917555.968000,-71.0597153
55264698.240000,-71.1148758
55611840.512000,-71.1051865
55958982.784000,-70.4008179
56306125.056000,-70.6270676
56653267.328000,-71.1943665
57000409.600000,-70.0304794
57347551.872000,-70.3783417
57694694.144000,-70.8904724
58041836.416000,-70.281311
58388978.688000,-70.0179367
58736120.960000,-69.8342743
59083263.232000,-69.3628693
59430405.504000,-69.9022369
59777547.776000,-69.2502441
60124690.048000,-69.0975723
60471832.320000,-68.9962158
60818974.592000,-68.6440277
61166116.864000,-68.9930115
61513259.136000,-68.5655975
61860401.408000,-68.4932404
62207543.680000,-68.0694427
62554685.952000,-68.2274857
62901828.224000,-68.2529755
63248970.496000,-67.9871445
63596112.768000,-67.1722641
63943255.040000,-66.9802322
64290397.312000,-66.6110764
64637539.584000,-66.344902
64984681.856000,-66.3225784
65331824.128000,-66.0479813
65678966.400000,-65.0124207
66026108.672000,-64.8456955
66373250.944000,-64.4588242
66720393.216000,-63.6371193
67067535.488000,-62.7880745
67414677.760000,-61.9334946
67761820.032000,-60.7108955
68108962.304000,-59.7293549
68456104.576000,-60.0297394
68803246.848000,-60.8003387
69150389.120000,-64.2540131
69497531.392000,-67.271637
69844673.664000,-72.2664566
70191815.936000,-72.6362762
70538958.208000,-73.8837585
70886100.480000,-74.6977234
71233242.752000,-74.4584045
71580385.024000,-74.0155029
71927527.296000,-73.1718521
72274669.568000,-72.3602905
72621811.840000,-71.8345261
72968954.112000,-71.0935516
73316096.384000,-70.3175659
73663238.656000,-70.586853
74010380.928000,-70.2520599
74357523.200000,-70.524353
74704665.472000,-69.7709351
75051807.744000,-69.702507
75398950.016000,-69.675087
75746092.288000,-69.7742996
76093234.560000,-69.3675385
76440376.832000,-69.0577698
76787519.104000,-68.9934616
77134661.376000,-69.5870438
77481803.648000,-68.9100342
77828945.920000,-68.7501526
78176088.192000,-68.8399429
78523230.464000,-68.9490051
78870372.736000,-68.4116898
79217515.008000,-69.4475327
79564657.280000,-68.6525726
79911799.552000,-69.2166061
80258941.824000,-68.8356323
80606084.096000,-68.941391
80953226.368000,-69.08461
81300368.640000,-69.4370956
81647510.912000,-68.5792694
81994653.184000,-69.181778
82341795.456000,-68.6548843
82688937.728000,-69.2516556
83036080.000000,-69.1836472
83383222.272000,-68.8901901
83730364.544000,-68.8207397
84077506.816000,-68.3515167
84424649.088000,-68.4498444
84771791.360000,-68.1216431
85118933.632000,-67.6252518
85466075.904000,-67.3057938
85813218.176000,-67.2804031
86160360.448000,-67.1527863
86507502.720000,-66.8725739
86854644.992000,-65.8966675
87201787.264000,-65.5278397
87548929.536000,-64.906929
87896071.808000,-64.400444
88243214.080000,-64.0821991
88590356.352000,-63.8640099
88937498.624000,-63.8889008
89284640.896000,-63.3605766
89631783.168000,-63.0682373
89978925.440000,-62.9065018
90326067.712000,-63.3795509
90673209.984000,-63.7172813
91020352.256000,-64.1235886
91367494.528000,-64.5292435
91714636.800000,-64.5920563
92061779.072000,-65.142868
92408921.344000,-64.6263123
92756063.616000,-65.3139191
93103205.888000,-65.364769
93450348.160000,-64.6468735
93797490.432000,-65.010849
94144632.704000,-65.4185257
94491774.976000,-65.8929138
94838917.248000,-66.6899567
95186059.520000,-66.8272858
95533201.792000,-67.1002655
95880344.064000,-67.7719421
96227486.336000,-68.1962738
96574628.608000,-69.1975403
96921770.880000,-68.2111206
97268913.152000,-69.008728
97616055.424000,-69.2120743
97963197.696000,-68.6728516
98310339.968000,-68.6687241
98657482.240000,-68.4108276
99004624.512000,-68.4402542
99351766.784000,-67.9266663
99698909.056000,-68.0388489
100046051.328000,-67.6866684
100393193.600000,-68.5816116
100740335.872000,-67.6397781
101087478.144000,-67.281601
101434620.416000,-66.7803879
101781762.688000,-67.1387405
102128904.960000,-66.247673
102476047.232000,-66.2915497
102823189.504000,-65.5618286
103170331.776000,-65.1022568
103517474.048000,-64.4671631
103864616.320000,-63.8225975
104211758.592000,-62.9301338
104558900.864000,-62.1692924
104906043.136000,-60.9995003
105253185.408000,-60.0097313
105600327.680000,-58.8842201
105947469.952000,-57.5509338
106294612.224000,-56.3085709
106641754.496000,-55.0695152
106988896.768000,-53.9766922
107336039.040000,-53.0354347
107683181.312000,-52.1763725
108030323.584000,-51.6232567
108377465.856000,-51.1705437
108724608.128000,-51.1960297
109071750.400000,-51.1057472
109418892.672000,-51.2724686
109766034.944000,-51.5550804
110113177.216000,-51.7704964
110460319.488000,-52.0832367
110807461.760000,-52.351284
111154604.032000,-52.7110176
111501746.304000,-52.8891449
111848888.576000,-53.0586739
112196030.848000,-53.3725357
112543173.120000,-53.6540146
112890315.392000,-53.7843132
113237457.664000,-54.0331726
113584599.936000,-54.2337227
113931742.208000,-54.3717842
114278884.480000,-54.6476555
114626026.752000,-54.7996292
114973169.024000,-54.9435387
115320311.296000,-55.2839966
115667453.568000,-55.433197
116014595.840000,-55.6066437
116361738.112000,-55.7682076
116708880.384000,-56.02565
117056022.656000,-56.1833572
117403164.928000,-56.2124062
117750307.200000,-56.3648834
118097449.472000,-56.4345779
118444591.744000,-56.7960701
118791734.016000,-56.9028549
119138876.288000,-57.1091156
119486018.560000,-57.3010216
119833160.832000,-57.4231339
120180303.104000,-57.7554893
120527445.376000,-57.9166908
120874587.648000,-58.0352592
121221729.920000,-58.4495316
121568872.192000,-58.755806
121916014.464000,-59.0053444
122263156.736000,-59.7068176
122610299.008000,-59.8760185
122957441.280000,-60.1375465
123304583.552000,-60.5588684
123651725.824000,-60.9290009
123998868.096000,-60.9219093
124346010.368000,-61.2047653
124693152.640000,-61.4062386
125040294.912000,-59.8021736
125387437.184000,-61.5579529
125734579.456000,-62.0422745
126081721.728000,-62.071064
126428864.000000,-62.0350227
126776006.272000,-61.9487839
127123148.544000,-61.9303322
127470290.816000,-62.0356598
127817433.088000,-61.8651543
128164575.360000,-61.3689575
128511717.632000,-61.5180588
128858859.904000,-60.9694099
129206002.176000,-61.1119232
129553144.448000,-60.7920227
129900286.720000,-60.5200844
130247428.992000,-60.3559685
130594571.264000,-60.5858498
130941713.536000,-60.5267906
131288855.808000,-60.2835045
131635998.080000,-60.6184273
131983140.352000,-60.9160728
132330282.624000,-61.3529205
132677424.896000,-61.8067436
133024567.168000,-62.2836075
133371709.440000,-62.5861015
133718851.712000,-63.6319427
134065993.984000,-63.733181
134413136.256000,-64.881897
134760278.528000,-65.2340469
135107420.800000,-66.4465027
135454563.072000,-65.874321
135801705.344000,-66.2458267
136148847.616000,-66.7764435
136495989.888000,-66.7756042
136843132.160000,-67.3898392
137190274.432000,-67.0879974
137537416.704000,-68.3824387
137884558.976000,-67.6908188
138231701.248000,-67.5250931
138578843.520000,-68.2399597
138925985.792000,-67.2872772
139273128.064000,-67.3797379
139620270.336000,-67.2348633
139967412.608000,-66.9028244
140314554.880000,-66.336235
140661697.152000,-66.6281281
141008839.424000,-66.1427307
141355981.696000,-65.5242157
141703123.968000,-64.94561
142050266.240000,-64.900444
142397408.512000,-64.7341461
142744550.784000,-64.7123413
143091693.056000,-64.5169601
143438835.328000,-64.5027695
143785977.600000,-64.2831116
144133119.872000,-64.2009964
144480262.144000,-64.548233
144827404.416000,-64.8275909
145174546.688000,-64.8162537
145521688.960000,-64.8707962
145868831.232000,-65.0432892
146215973.504000,-65.1401291
146563115.776000,-65.5829468
146910258.048000,-65.8678818
147257400.320000,-66.0540237
147604542.592000,-66.3604507
147951684.864000,-67.095932
148298827.136000,-66.9676743
148645969.408000,-67.9124756
148993111.680000,-68.6646347
149340253.952000,-68.8920517
149687396.224000,-67.3157578
150034538.496000,-66.338913
150381680.768000,-68.7396927
150728823.040000,-70.3968735
151075965.312000,-70.5166626
151423107.584000,-71.1669846
151770249.856000,-72.0912781
152117392.128000,-72.4881897
152464534.400000,-71.8867569
152811676.672000,-73.0730362
153158818.944000,-72.7305832
153505961.216000,-73.6740417
153853103.488000,-74.3396225
154200245.760000,-73.6274414
154547388.032000,-74.176651
154894530.304000,-73.7667694
155241672.576000,-74.0190353
155588814.848000,-74.4016342
155935957.120000,-74.442131
156283099.392000,-73.7318039
156630241.664000,-73.6754761
156977383.936000,-73.9646912
157324526.208000,-74.2098618
157671668.480000,-72.8149643
158018810.752000,-73.0717926
158365953.024000,-72.5248489
158713095.296000,-72.6423035
159060237.568000,-71.4877472
159407379.840000,-70.829277
159754522.112000,-71.7741013
160101664.384000,-71.4710007
160448806.656000,-70.9309158
160795948.928000,-70.2217712
161143091.200000,-70.1068649
161490233.472000,-70.0272751
161837375.744000,-70.1955109
162184518.016000,-69.1027527
162531660.288000,-69.2031021
162878802.560000,-68.7286758
163225944.832000,-68.6715317
163573087.104000,-67.9165726
163920229.376000,-68.4240799
164267371.648000,-68.3422546
164614513.920000,-68.0349121
164961656.192000,-67.2659988
165308798.464000,-67.9031601
165655940.736000,-66.9851685
166003083.008000,-66.9297943
166350225.280000,-66.733223
166697367.552000,-66.2414398
167044509.824000,-66.2328186
167391652.096000,-65.8156509
167738794.368000,-65.8757095
168085936.640000,-65.1839142
168433078.912000,-65.0536423
168780221.184000,-64.7555847
169127363.456000,-64.5980148
169474505.728000,-64.2523956
169821648.000000,-63.925724
170168790.272000,-63.5539818
170515932.544000,-63.4142609
170863074.816000,-63.2730789
171210217.088000,-62.5462074
171557359.360000,-62.281147
171904501.632000,-62.0923347
172251643.904000,-61.9366188
172598786.176000,-61.501152
172945928.448000,-60.9522247
173293070.720000,-60.7313576
173640212.992000,-60.3730927
173987355.264000,-59.9253616
174334497.536000,-59.7428093
174681639.808000,-59.2570419
175028782.080000,-59.0543404
175375924.352000,-58.7780762
175723066.624000,-58.3128853
176070208.896000,-57.8567848
176417351.168000,-57.7799683
176764493.440000,-57.601696
177111635.712000,-57.3149376
177458777.984000,-57.1833115
177805920.256000,-57.019558
178153062.528000,-56.7595177
178500204.800000,-56.6544533
178847347.072000,-56.5806389
179194489.344000,-56.3737183
179541631.616000,-56.3571815
179888773.888000,-56.5538712
180235916.160000,-56.1914711
180583058.432000,-56.1273003
180930200.704000,-56.4210129
181277342.976000,-56.2895813
181624485.248000,-56.184906
181971627.520000,-56.2342567
182318769.792000,-56.1830635
182665912.064000,-56.2827721
183013054.336000,-56.2853851
183360196.608000,-56.3150902
183707338.880000,-56.4335938
184054481.152000,-56.6187248
184401623.424000,-56.6433029
184748765.696000,-56.9010201
185095907.968000,-56.7512817
185443050.240000,-57.0296783
185790192.512000,-57.194088
186137334.784000,-57.3848457
186484477.056000,-57.6750946
186831619.328000,-57.8577576
187178761.600000,-57.9836273
187525903.872000,-58.3827667
187873046.144000,-58.5101585
188220188.416000,-58.7530479
188567330.688000,-59.118187
188914472.960000,-59.3567657
189261615.232000,-59.5316811
189608757.504000,-59.7169991
189955899.776000,-60.037384
190303042.048000,-60.0126953
190650184.320000,-60.034008
190997326.592000,-59.8857193
191344468.864000,-59.8605766
191691611.136000,-59.8435402
192038753.408000,-59.2670708
192385895.680000,-59.3092918
192733037.952000,-58.8529167
193080180.224000,-58.3512726
193427322.496000,-57.8617249
193774464.768000,-57.2545166
194121607.040000,-56.7119141
194468749.312000,-55.8176765
194815891.584000,-55.2576218
195163033.856000,-54.6044617
195510176.128000,-53.9106255
195857318.400000,-52.9955368
196204460.672000,-52.2860718
196551602.944000,-51.4225349
196898745.216000,-50.6604614
197245887.488000,-49.8519669
197593029.760000,-48.9478798
197940172.032000,-48.1355553
198287314.304000,-47.3962212
198634456.576000,-46.709774
198981598.848000,-46.1408348
199328741.120000,-45.6099396
199675883.392000,-45.2677917
200023025.664000,-44.9863052
200370167.936000,-44.8138161
200717310.208000,-44.7243118
201064452.480000,-44.8226013
201411594.752000,-44.9004478
201758737.024000,-45.0260468
202105879.296000,-45.1850204
202453021.568000,-45.4020844
202800163.840000,-45.5585403
203147306.112000,-45.7111664
203494448.384000,-45.9002953
203841590.656000,-46.0782967
204188732.928000,-46.1848145
204535875.200000,-46.2948456
204883017.472000,-46.5283394
205230159.744000,-46.6190453
205577302.016000,-46.6823578
205924444.288000,-46.8512001
206271586.560000,-47.0146523
206618728.832000,-47.0744591
206965871.104000,-47.1869278
