Frequency_Hz,Amplitude
39643296.000000,-74.0770416
39990438.272000,-75.2501831
40337580.544000,-75.1942444
40684722.816000,-73.8976593
41031865.088000,-74.4270401
41379007.360000,-74.0748978
41726149.632000,-73.8748627
42073291.904000,-73.9506226
42420434.176000,-73.2677841
42767576.448000,-73.3322372
43114718.720000,-72.4665756
43461860.992000,-71.2242889
43809003.264000,-69.8970947
44156145.536000,-69.4388046
44503287.808000,-68.3453751
44850430.080000,-67.6654587
45197572.352000,-65.0029449
45544714.624000,-63.6026955
45891856.896000,-61.4910049
46238999.168000,-59.4102974
46586141.440000,-56.3722572
46933283.712000,-53.1715775
47280425.984000,-51.4410973
47627568.256000,-52.1959305
47974710.528000,-55.1008377
48321852.800000,-58.0899925
48668995.072000,-60.1289101
49016137.344000,-62.7418976
49363279.616000,-64.3208237
49710421.888000,-65.5668182
50057564.160000,-66.9961929
50404706.432000,-67.4710922
50751848.704000,-68.0953369
51098990.976000,-69.2266312
51446133.248000,-69.4707413
51793275.520000,-70.1240387
52140417.792000,-70.6892776
52487560.064000,-70.5695953
52834702.336000,-70.5538177
53181844.608000,-71.0932693
53528986.880000,-71.7750702
53876129.152000,-70.5069504
54223271.424000,-70.96875
54570413.696000,-70.5397491
54917555.968000,-70.5986481
55264698.240000,-70.8277206
55611840.512000,-70.0233078
55958982.784000,-70.9858017
56306125.056000,-70.8995438
56653267.328000,-70.6550674
57000409.600000,-70.4915161
57347551.872000,-70.6671677
57694694.144000,-69.7268143
58041836.416000,-70.060379
58388978.688000,-69.8389435
58736120.960000,-70.218071
59083263.232000,-69.7298126
59430405.504000,-69.6770096
59777547.776000,-69.2804489
60124690.048000,-69.4439392
60471832.320000,-69.1648788
60818974.592000,-68.763092
61166116.864000,-68.5835114
61513259.136000,-68.1649246
61860401.408000,-68.4899902
62207543.680000,-67.6983032
62554685.952000,-67.6921844
62901828.224000,-67.9775772
63248970.496000,-67.4663086
63596112.768000,-67.8672256
63943255.040000,-66.8766785
64290397.312000,-67.1626892
64637539.584000,-66.6534348
64984681.856000,-66.138382
65331824.128000,-65.6968842
65678966.400000,-65.7798386
66026108.672000,-64.9659042
66373250.944000,-64.2841644
66720393.216000,-63.2078552
67067535.488000,-63.0900764
67414677.760000,-61.6200409
67761820.032000,-60.8200264
68108962.304000,-59.944767
68456104.576000,-59.5844688
68803246.848000,-60.966877
69150389.120000,-64.3267899
69497531.392000,-67.5212936
69844673.664000,-70.5353088
70191815.936000,-73.5293655
70538958.208000,-74.4110718
70886100.480000,-74.5075684
71233242.752000,-73.8955383
71580385.024000,-73.6437607
71927527.296000,-73.0698929
72274669.568000,-73.4263153
72621811.840000,-71.8183899
72968954.112000,-71.3759689
73316096.384000,-70.5945358
73663238.656000,-70.1268692
74010380.928000,-70.6994171
74357523.200000,-69.7684021
74704665.472000,-69.5119629
75051807.744000,-69.0386963
75398950.016000,-69.0237427
75746092.288000,-70.0167847
76093234.560000,-69.8669891
76440376.832000,-68.7565308
76787519.104000,-68.771637
77134661.376000,-68.9081192
77481803.648000,-69.4395447
77828945.920000,-68.8895798
78176088.192000,-69.3233566
78523230.464000,-68.9334259
78870372.736000,-69.2475739
79217515.008000,-69.5224457
79564657.280000,-68.8419952
79911799.552000,-68.8860931
80258941.824000,-68.7299347
80606084.096000,-69.6362381
80953226.368000,-68.8094101
81300368.640000,-69.5456924
81647510.912000,-69.5099869
81994653.184000,-69.1279068
82341795.456000,-69.3403168
82688937.728000,-69.2529526
83036080.000000,-69.3405914
83383222.272000,-69.0225372
83730364.544000,-68.6840057
84077506.816000,-68.2313766
84424649.088000,-68.4928589
84771791.360000,-67.6049118
85118933.632000,-67.4848862
85466075.904000,-67.3531113
85813218.176000,-67.8111267
86160360.448000,-67.1596527
86507502.720000,-66.6605377
86854644.992000,-65.9936218
87201787.264000,-65.7801514
87548929.536000,-65.1377716
87896071.808000,-64.6564026
88243214.080000,-64.1986313
88590356.352000,-63.6821671
88937498.624000,-63.5147057
89284640.896000,-62.9747849
89631783.168000,-63.0828323
89978925.440000,-63.2075119
90326067.712000,-63.0501366
90673209.984000,-63.2149734
91020352.256000,-63.4528313
91367494.528000,-64.0559769
91714636.800000,-64.0817337
92061779.072000,-64.4633865
92408921.344000,-64.806076
92756063.616000,-64.7138214
93103205.888000,-64.7105103
93450348.160000,-65.363533
93797490.432000,-65.2279053
94144632.704000,-65.5343475
94491774.976000,-66.0044403
94838917.248000,-67.0184631
95186059.520000,-67.2182236
95533201.792000,-67.3802032
95880344.064000,-68.0568161
96227486.336000,-68.2690659
96574628.608000,-68.6693268
96921770.880000,-67.9469528
97268913.152000,-68.8643036
97616055.424000,-69.0927963
97963197.696000,-68.564209
98310339.968000,-68.8104935
98657482.240000,-68.7215118
99004624.512000,-68.4990387
99351766.784000,-67.9698181
99698909.056000,-67.9173965
100046051.328000,-67.6729889
100393193.600000,-68.0346375
100740335.872000,-67.2981186
101087478.144000,-67.2893219
101434620.416000,-67.0375519
101781762.688000,-66.739212
102128904.960000,-66.559761
102476047.232000,-65.7803574
102823189.504000,-65.3025284
103170331.776000,-65.1106186
103517474.048000,-64.407402
103864616.320000,-63.9620705
104211758.592000,-62.9383659
104558900.864000,-61.9075356
104906043.136000,-61.1595879
105253185.408000,-59.9363327
105600327.680000,-58.8501778
105947469.952000,-57.6254959
106294612.224000,-56.3062286
106641754.496000,-55.1492691
106988896.768000,-53.9111214
107336039.040000,-53.0682945
107683181.312000,-52.1492653
108030323.584000,-51.6206932
108377465.856000,-51.2785454
108724608.128000,-51.1144638
109071750.400000,-51.1301231
109418892.672000,-51.3407135
109766034.944000,-51.5948982
110113177.216000,-51.9238586
110460319.488000,-52.1079063
110807461.760000,-52.4256477
111154604.032000,-52.7008057
111501746.304000,-52.9172897
111848888.576000,-53.0671272
112196030.848000,-53.4231071
112543173.120000,-53.6026154
112890315.392000,-53.7610588
113237457.664000,-54.0393867
113584599.936000,-54.1408386
113931742.208000,-54.2755737
114278884.480000,-54.5237503
114626026.752000,-54.733696
114973169.024000,-54.8327103
115320311.296000,-55.1124077
115667453.568000,-55.1735229
116014595.840000,-55.6109505
116361738.112000,-55.6328659
116708880.384000,-55.6243896
117056022.656000,-55.9310341
117403164.928000,-56.1292152
117750307.200000,-56.1145821
118097449.472000,-56.302681
118444591.744000,-56.352478
118791734.016000,-56.5005875
119138876.288000,-56.6035347
119486018.560000,-56.9096298
119833160.832000,-56.9365425
120180303.104000,-57.228241
120527445.376000,-57.3280144
120874587.648000,-57.5947266
121221729.920000,-58.0125923
121568872.192000,-58.6074295
121916014.464000,-58.680069
122263156.736000,-59.410923
122610299.008000,-59.8856468
122957441.280000,-60.1168861
123304583.552000,-60.6335983
123651725.824000,-61.2647285
123998868.096000,-61.5186234
124346010.368000,-61.3931351
124693152.640000,-61.7643318
125040294.912000,-60.9168625
125387437.184000,-62.5850601
125734579.456000,-62.4094315
126081721.728000,-62.2197647
126428864.000000,-62.4206123
126776006.272000,-62.5560379
127123148.544000,-62.2468262
127470290.816000,-62.0702477
127817433.088000,-61.9390984
128164575.360000,-61.6189537
128511717.632000,-61.6633263
128858859.904000,-61.5718956
129206002.176000,-61.2745705
129553144.448000,-60.9559631
129900286.720000,-61.2813416
130247428.992000,-60.9718399
130594571.264000,-60.6151428
130941713.536000,-60.6515312
131288855.808000,-60.4597397
131635998.080000,-60.6704865
131983140.352000,-60.8006897
132330282.624000,-61.1034164
132677424.896000,-61.712841
133024567.168000,-62.1553955
133371709.440000,-62.6100578
133718851.712000,-63.2407761
134065993.984000,-63.5521622
134413136.256000,-63.958683
134760278.528000,-64.5054855
135107420.800000,-64.9703674
135454563.072000,-65.4786148
135801705.344000,-65.4950104
136148847.616000,-66.2379837
136495989.888000,-66.1390305
136843132.160000,-66.6848755
137190274.432000,-66.5715179
137537416.704000,-67.0158768
137884558.976000,-66.6316681
