Frequency_Hz,Amplitude
39643296.000000,-74.7646866
39990438.272000,-74.996315
40337580.544000,-75.5085754
40684722.816000,-74.9388809
41031865.088000,-74.8661728
41379007.360000,-75.1892929
41726149.632000,-74.0107422
42073291.904000,-74.6976852
42420434.176000,-73.587944
42767576.448000,-71.9100952
43114718.720000,-71.5505524
43461860.992000,-71.6685104
43809003.264000,-70.495369
44156145.536000,-68.9187393
44503287.808000,-67.3810272
44850430.080000,-66.2672501
45197572.352000,-65.3188629
45544714.624000,-63.3015442
45891856.896000,-61.5082588
46238999.168000,-59.2206078
46586141.440000,-56.3034744
46933283.712000,-53.1427307
47280425.984000,-51.3590927
47627568.256000,-52.1747284
47974710.528000,-55.0553131
48321852.800000,-58.0572319
48668995.072000,-60.4329185
49016137.344000,-62.3702011
49363279.616000,-64.0334244
49710421.888000,-65.379425
50057564.160000,-66.5873184
50404706.432000,-67.2519608
50751848.704000,-68.5614929
51098990.976000,-68.7093887
51446133.248000,-69.5809021
51793275.520000,-70.3913879
52140417.792000,-69.544838
52487560.064000,-71.4258423
52834702.336000,-70.7179718
53181844.608000,-71.2110214
53528986.880000,-70.9256821
53876129.152000,-71.0512848
54223271.424000,-71.5922089
54570413.696000,-71.0374908
54917555.968000,-71.1197739
55264698.240000,-71.2142868
55611840.512000,-71.0609131
55958982.784000,-70.8129044
56306125.056000,-71.4349365
56653267.328000,-70.5704422
57000409.600000,-70.3052444
57347551.872000,-70.1693192
57694694.144000,-70.865715
58041836.416000,-70.1621552
58388978.688000,-70.4338837
58736120.960000,-70.5682297
59083263.232000,-69.7450409
59430405.504000,-69.7589569
59777547.776000,-69.2498398
60124690.048000,-68.4807358
60471832.320000,-69.2171478
60818974.592000,-69.4001465
61166116.864000,-68.9789886
61513259.136000,-68.2891693
61860401.408000,-68.6163177
62207543.680000,-68.403923
62554685.952000,-68.2017212
62901828.224000,-68.2709961
63248970.496000,-67.8530884
63596112.768000,-67.1184235
63943255.040000,-67.2457657
64290397.312000,-66.8790588
64637539.584000,-66.2283783
64984681.856000,-66.3498459
65331824.128000,-65.7545242
65678966.400000,-65.1379929
66026108.672000,-64.9657898
66373250.944000,-64.0443039
66720393.216000,-63.3718376
67067535.488000,-62.9052238
67414677.760000,-61.7119522
