Frequency_Hz,Amplitude
39643296.000000,-75.0932922
39990438.272000,-74.7736435
40337580.544000,-75.0228577
40684722.816000,-75.2222672
41031865.088000,-74.6446838
41379007.360000,-74.4533615
41726149.632000,-74.1200638
42073291.904000,-73.1431656
42420434.176000,-72.8507156
42767576.448000,-72.5837402
43114718.720000,-72.2837372
43461860.992000,-71.4395065
43809003.264000,-70.7607956
44156145.536000,-69.3677292
44503287.808000,-68.6514893
44850430.080000,-66.3740234
45197572.352000,-65.3101349
45544714.624000,-63.3448792
45891856.896000,-61.503273
46238999.168000,-59.1216812
46586141.440000,-56.3711014
46933283.712000,-53.2455215
47280425.984000,-51.4786491
47627568.256000,-52.1610832
47974710.528000,-55.1455688
48321852.800000,-57.9119987
48668995.072000,-60.5188828
49016137.344000,-62.6816368
49363279.616000,-64.0594711
49710421.888000,-65.3728638
50057564.160000,-66.4095306
50404706.432000,-67.5241928
50751848.704000,-67.8451767
51098990.976000,-68.740509
51446133.248000,-69.934845
51793275.520000,-69.474617
52140417.792000,-69.9099121
52487560.064000,-70.6109848
52834702.336000,-70.9486694
53181844.608000,-70.3003616
53528986.880000,-71.1119308
53876129.152000,-71.1306076
54223271.424000,-71.2073898
54570413.696000,-70.7748947
54917555.968000,-70.9066391
55264698.240000,-70.2993546
55611840.512000,-70.3928757
55958982.784000,-71.6092911
56306125.056000,-70.8090591
56653267.328000,-71.2406769
57000409.600000,-70.4733124
57347551.872000,-70.8981552
57694694.144000,-70.9869461
58041836.416000,-71.4125214
58388978.688000,-70.0828171
58736120.960000,-69.9091263
59083263.232000,-69.8478165
59430405.504000,-70.040062
59777547.776000,-70.4211426
60124690.048000,-69.3603745
60471832.320000,-69.0946274
60818974.592000,-69.1034164
61166116.864000,-69.5398331
61513259.136000,-68.7380371
61860401.408000,-68.7040558
62207543.680000,-68.8193817
62554685.952000,-67.9340591
62901828.224000,-68.3809814
63248970.496000,-67.3026505
63596112.768000,-67.2635727
63943255.040000,-67.0518875
64290397.312000,-66.8475037
64637539.584000,-66.7325592
64984681.856000,-66.544693
65331824.128000,-66.06353
65678966.400000,-65.1255798
66026108.672000,-64.64534
66373250.944000,-64.7280273
66720393.216000,-63.7239189
67067535.488000,-62.7748299
67414677.760000,-61.9663506
67761820.032000,-60.7462654
68108962.304000,-59.9571342
68456104.576000,-59.8343697
68803246.848000,-61.2390556
69150389.120000,-64.2019272
69497531.392000,-67.4353256
69844673.664000,-71.1327896
70191815.936000,-73.0904541
70538958.208000,-73.7385483
70886100.480000,-74.3429489
71233242.752000,-73.9774551
71580385.024000,-72.870224
71927527.296000,-73.2314835
72274669.568000,-72.6731567
72621811.840000,-72.6162338
72968954.112000,-71.6693802
73316096.384000,-70.8330536
73663238.656000,-71.1781387
74010380.928000,-70.2827301
74357523.200000,-70.0402222
74704665.472000,-69.5435486
75051807.744000,-70.0501709
75398950.016000,-69.5606384
75746092.288000,-69.6162033
76093234.560000,-69.7442856
76440376.832000,-68.9349442
76787519.104000,-69.0387573
77134661.376000,-69.0499496
77481803.648000,-68.9281464
77828945.920000,-68.9024353
78176088.192000,-68.9701309
78523230.464000,-68.6750488
78870372.736000,-68.9450531
79217515.008000,-69.4760742
79564657.280000,-69.2318115
79911799.552000,-68.5062256
80258941.824000,-68.7671661
80606084.096000,-68.9674301
80953226.368000,-69.080101
81300368.640000,-69.6466522
81647510.912000,-69.0745316
81994653.184000,-69.6277847
82341795.456000,-69.121109
82688937.728000,-69.4056091
83036080.000000,-69.0459061
83383222.272000,-68.8629456
83730364.544000,-68.9962845
84077506.816000,-68.4832764
84424649.088000,-67.737236
84771791.360000,-68.2284393
85118933.632000,-68.2659225
85466075.904000,-67.2215958
85813218.176000,-67.3046875
86160360.448000,-66.6498871
86507502.720000,-66.2461014
86854644.992000,-65.8623047
87201787.264000,-66.2254868
87548929.536000,-65.6251984
87896071.808000,-64.6109772
88243214.080000,-64.1528015
88590356.352000,-63.6618042
88937498.624000,-63.3290863
89284640.896000,-63.5622406
89631783.168000,-62.8527603
89978925.440000,-62.9137115
90326067.712000,-63.2816162
90673209.984000,-63.3533096
91020352.256000,-63.7221794
91367494.528000,-63.892643
91714636.800000,-63.9958572
92061779.072000,-64.4268112
92408921.344000,-64.4086838
92756063.616000,-64.6923218
93103205.888000,-64.4680939
93450348.160000,-65.5948486
93797490.432000,-65.1869507
94144632.704000,-65.4768982
94491774.976000,-66.1246567
94838917.248000,-65.9177551
95186059.520000,-66.7496414
95533201.792000,-67.2207947
95880344.064000,-67.4211884
96227486.336000,-68.3188782
96574628.608000,-68.5454559
96921770.880000,-68.7967377
97268913.152000,-69.1412354
97616055.424000,-69.3850403
97963197.696000,-69.085144
98310339.968000,-68.9336624
98657482.240000,-69.0152969
99004624.512000,-68.2986145
99351766.784000,-68.0792542
99698909.056000,-68.5122604
100046051.328000,-68.3953781
100393193.600000,-67.4822159
100740335.872000,-67.6261139
101087478.144000,-67.2833481
101434620.416000,-67.1443634
101781762.688000,-66.6143646
102128904.960000,-66.2407913
