Frequency_Hz,Amplitude
39643296.000000,-73.9409256
39990438.272000,-74.0269547
40337580.544000,-74.4165878
40684722.816000,-74.7287445
41031865.088000,-74.5811615
41379007.360000,-73.7336197
41726149.632000,-73.6298141
42073291.904000,-73.0833054
42420434.176000,-73.1831818
42767576.448000,-72.5331726
43114718.720000,-72.0094299
43461860.992000,-71.0456772
43809003.264000,-70.2587662
44156145.536000,-69.0002213
44503287.808000,-68.3504791
44850430.080000,-66.6996994
45197572.352000,-65.1797104
45544714.624000,-63.5339241
45891856.896000,-61.3716698
46238999.168000,-59.3154984
46586141.440000,-56.2927818
46933283.712000,-53.1631813
47280425.984000,-51.4030838
47627568.256000,-52.2177429
47974710.528000,-54.9526482
48321852.800000,-58.2618828
48668995.072000,-60.5661621
49016137.344000,-62.3937416
49363279.616000,-64.2071838
49710421.888000,-65.0522842
50057564.160000,-66.5122375
50404706.432000,-67.2558899
50751848.704000,-68.6724014
51098990.976000,-68.3857346
51446133.248000,-69.7114639
51793275.520000,-69.8247833
52140417.792000,-70.1190948
52487560.064000,-70.7070541
52834702.336000,-70.5355988
53181844.608000,-70.9118958
53528986.880000,-71.143425
53876129.152000,-71.0761108
54223271.424000,-71.8245468
54570413.696000,-70.608963
54917555.968000,-70.5493393
55264698.240000,-71.4187241
55611840.512000,-70.6685791
55958982.784000,-70.3666382
56306125.056000,-70.7300034
56653267.328000,-70.3044739
57000409.600000,-70.5786896
57347551.872000,-70.0184937
57694694.144000,-70.0348206
58041836.416000,-69.9520493
58388978.688000,-69.6973267
58736120.960000,-70.1553879
59083263.232000,-69.6666107
59430405.504000,-69.5404129
59777547.776000,-69.3323593
60124690.048000,-69.4296799
60471832.320000,-69.3453369
60818974.592000,-69.9716949
61166116.864000,-68.907608
61513259.136000,-68.3899994
61860401.408000,-68.7232056
62207543.680000,-68.1549759
62554685.952000,-67.8640594
62901828.224000,-67.7521973
63248970.496000,-67.7257843
63596112.768000,-67.4162827
63943255.040000,-67.3471603
64290397.312000,-66.6967316
64637539.584000,-66.641098
64984681.856000,-65.9468689
65331824.128000,-65.5379105
65678966.400000,-65.3641891
66026108.672000,-64.9992599
66373250.944000,-64.055191
66720393.216000,-63.5114098
67067535.488000,-62.9285812
67414677.760000,-61.543396
67761820.032000,-60.670414
68108962.304000,-59.9917488
68456104.576000,-59.8055534
68803246.848000,-61.3607826
69150389.120000,-64.0273514
69497531.392000,-67.8555069
