Frequency_Hz,Amplitude
39643296.000000,-74.471199
39990438.272000,-75.1967926
40337580.544000,-75.0292206
40684722.816000,-74.8735886
41031865.088000,-74.9372025
41379007.360000,-74.2213593
41726149.632000,-74.2390442
42073291.904000,-73.6708832
42420434.176000,-73.6656723
42767576.448000,-72.3124161
43114718.720000,-71.8958511
43461860.992000,-70.886795
43809003.264000,-69.8362808
44156145.536000,-69.0247879
44503287.808000,-68.3020859
44850430.080000,-66.536438
45197572.352000,-65.1405945
45544714.624000,-63.6390991
45891856.896000,-61.1431046
46238999.168000,-59.296669
46586141.440000,-56.1730156
46933283.712000,-53.1721039
47280425.984000,-51.3362465
47627568.256000,-52.1419067
47974710.528000,-54.9313965
48321852.800000,-57.8502388
48668995.072000,-60.6905403
49016137.344000,-62.5343933
49363279.616000,-64.4857864
49710421.888000,-65.3141251
50057564.160000,-66.6237411
50404706.432000,-67.5369186
50751848.704000,-68.2782288
51098990.976000,-68.7679443
51446133.248000,-69.1546402
51793275.520000,-70.3387833
52140417.792000,-70.5035934
52487560.064000,-70.0618362
52834702.336000,-70.1926346
53181844.608000,-71.8333969
53528986.880000,-70.7512207
53876129.152000,-71.4066315
54223271.424000,-70.9344711
54570413.696000,-71.2801132
54917555.968000,-71.0888748
55264698.240000,-70.6223068
55611840.512000,-70.7490768
55958982.784000,-71.4206161
56306125.056000,-70.528923
56653267.328000,-70.7582703
57000409.600000,-69.5580673
57347551.872000,-70.2090454
57694694.144000,-69.8763962
58041836.416000,-69.7699814
58388978.688000,-69.6604233
58736120.960000,-70.5268936
59083263.232000,-70.0773315
59430405.504000,-69.8894043
59777547.776000,-69.271225
60124690.048000,-69.4110718
60471832.320000,-69.2732468
60818974.592000,-69.2591705
61166116.864000,-68.5438766
61513259.136000,-68.7455444
61860401.408000,-67.8162155
62207543.680000,-68.3896713
62554685.952000,-68.5281296
62901828.224000,-67.4968338
63248970.496000,-67.530098
63596112.768000,-67.5765457
63943255.040000,-67.1071854
64290397.312000,-66.5775681
64637539.584000,-66.917305
64984681.856000,-66.631897
65331824.128000,-65.3883057
65678966.400000,-65.2963104
66026108.672000,-64.8034286
66373250.944000,-64.2217407
66720393.216000,-63.7738609
67067535.488000,-62.7076645
67414677.760000,-61.5364685
67761820.032000,-60.7453423
68108962.304000,-59.8123932
68456104.576000,-59.9066544
68803246.848000,-61.3810806
69150389.120000,-64.0869217
69497531.392000,-67.6548615
69844673.664000,-70.3144836
70191815.936000,-73.3065796
70538958.208000,-74.1768951
70886100.480000,-75.1244736
71233242.752000,-73.8939209
71580385.024000,-73.3433075
71927527.296000,-73.3082123
72274669.568000,-72.6674805
72621811.840000,-72.3188858
72968954.112000,-71.6356506
73316096.384000,-70.518364
73663238.656000,-70.8270187
74010380.928000,-70.2986069
74357523.200000,-70.074913
74704665.472000,-70.1610184
75051807.744000,-69.8099518
75398950.016000,-69.0893021
75746092.288000,-69.656044
76093234.560000,-68.7483673
76440376.832000,-69.3174667
76787519.104000,-69.2541122
77134661.376000,-68.8632202
77481803.648000,-69.4420776
77828945.920000,-68.8673706
78176088.192000,-68.7988052
78523230.464000,-68.5463715
78870372.736000,-69.2903748
79217515.008000,-68.8826141
79564657.280000,-68.8343124
79911799.552000,-69.3531494
80258941.824000,-69.8384705
80606084.096000,-68.8845596
80953226.368000,-69.0730743
81300368.640000,-69.4934387
81647510.912000,-69.685257
81994653.184000,-69.4940338
82341795.456000,-68.4671478
82688937.728000,-68.8418121
83036080.000000,-68.9054031
83383222.272000,-68.7636795
83730364.544000,-68.2893372
84077506.816000,-68.2203445
84424649.088000,-68.3481827
84771791.360000,-67.8469467
85118933.632000,-67.8840714
85466075.904000,-67.2663422
85813218.176000,-66.8406296
86160360.448000,-66.8136444
86507502.720000,-66.747673
86854644.992000,-66.2534409
87201787.264000,-65.663063
87548929.536000,-65.5576553
87896071.808000,-64.8553085
88243214.080000,-64.8416595
88590356.352000,-63.929512
88937498.624000,-63.4502373
89284640.896000,-63.3500633
89631783.168000,-62.9316864
89978925.440000,-63.2397804
90326067.712000,-63.1387482
90673209.984000,-62.998806
91020352.256000,-63.8347244
91367494.528000,-63.9880562
91714636.800000,-64.4195023
92061779.072000,-64.5461578
92408921.344000,-64.5028381
92756063.616000,-64.651062
93103205.888000,-64.9049454
93450348.160000,-65.0052643
93797490.432000,-64.9030075
94144632.704000,-65.9339218
94491774.976000,-65.6863556
94838917.248000,-66.4350815
95186059.520000,-67.4705963
95533201.792000,-67.7196426
95880344.064000,-68.0680542
96227486.336000,-68.5310211
96574628.608000,-68.8174591
96921770.880000,-68.9095154
97268913.152000,-68.5323792
97616055.424000,-69.6573105
97963197.696000,-69.3226089
98310339.968000,-68.5599899
98657482.240000,-68.6534195
99004624.512000,-68.222229
99351766.784000,-68.4552536
99698909.056000,-68.0544586
100046051.328000,-68.1887589
100393193.600000,-67.7538681
100740335.872000,-67.6808777
101087478.144000,-67.2339172
101434620.416000,-67.1345139
101781762.688000,-67.1917496
102128904.960000,-66.346962
102476047.232000,-66.19767
102823189.504000,-65.5567856
