Frequency_Hz,Amplitude
39643296.000000,-75.299057
39990438.272000,-74.5873108
40337580.544000,-74.7790298
40684722.816000,-74.5709686
41031865.088000,-74.9280243
41379007.360000,-74.0549316
41726149.632000,-73.8158722
42073291.904000,-73.4016037
42420434.176000,-73.6372986
42767576.448000,-72.8131256
43114718.720000,-71.867836
43461860.992000,-70.5852356
43809003.264000,-70.3690033
44156145.536000,-69.0740128
44503287.808000,-67.3850555
44850430.080000,-66.0430145
45197572.352000,-65.1122971
45544714.624000,-63.5583763
45891856.896000,-61.5716209
46238999.168000,-59.071312
46586141.440000,-56.3797264
46933283.712000,-53.0405807
47280425.984000,-51.3836212
47627568.256000,-52.0364914
47974710.528000,-55.1930046
48321852.800000,-57.8919678
48668995.072000,-60.6085014
49016137.344000,-62.4803467
49363279.616000,-64.0315094
49710421.888000,-65.3185196
50057564.160000,-66.3014984
50404706.432000,-67.43396
50751848.704000,-67.946373
51098990.976000,-69.0197983
51446133.248000,-69.3884354
51793275.520000,-69.8523483
52140417.792000,-71.3119736
52487560.064000,-70.1254044
52834702.336000,-70.5565262
53181844.608000,-70.6496658
53528986.880000,-70.5079956
53876129.152000,-71.8005753
54223271.424000,-71.0261383
54570413.696000,-70.1497726
54917555.968000,-70.8999481
55264698.240000,-71.2745438
55611840.512000,-70.548851
55958982.784000,-70.0473022
56306125.056000,-70.866745
56653267.328000,-70.5272903
57000409.600000,-70.3833618
57347551.872000,-70.0935669
57694694.144000,-70.4703522
58041836.416000,-70.0624466
58388978.688000,-70.0558319
58736120.960000,-70.3018112
59083263.232000,-69.3782806
59430405.504000,-69.6842041
59777547.776000,-69.3532639
60124690.048000,-69.1080399
60471832.320000,-69.6731873
60818974.592000,-69.6827698
61166116.864000,-68.4531708
61513259.136000,-68.6472092
61860401.408000,-68.7528992
62207543.680000,-68.151825
62554685.952000,-67.9412842
62901828.224000,-68.0864258
63248970.496000,-67.7281113
63596112.768000,-67.5451889
63943255.040000,-66.9938583
64290397.312000,-66.8003006
64637539.584000,-66.487709
64984681.856000,-66.0147324
65331824.128000,-66.037735
65678966.400000,-65.2326355
66026108.672000,-64.896225
66373250.944000,-64.1131363
66720393.216000,-63.514225
67067535.488000,-62.6349106
67414677.760000,-61.9914169
67761820.032000,-60.706852
68108962.304000,-59.8377838
68456104.576000,-59.8841705
68803246.848000,-61.1867256
69150389.120000,-64.2582779
69497531.392000,-67.5604095
69844673.664000,-70.8935699
70191815.936000,-72.9508133
70538958.208000,-73.9180374
70886100.480000,-75.0313034
71233242.752000,-74.1097946
71580385.024000,-73.9806671
71927527.296000,-72.8326645
72274669.568000,-72.9290848
72621811.840000,-72.098381
72968954.112000,-71.5542221
73316096.384000,-71.8890533
73663238.656000,-70.6580124
74010380.928000,-70.1172028
74357523.200000,-70.7706528
74704665.472000,-69.6221466
75051807.744000,-69.3109589
75398950.016000,-69.4668732
75746092.288000,-68.9602051
76093234.560000,-69.419754
76440376.832000,-69.2725143
76787519.104000,-69.2671967
77134661.376000,-69.0161896
77481803.648000,-69.0139008
77828945.920000,-68.9705505
78176088.192000,-68.6865234
78523230.464000,-69.4632034
78870372.736000,-69.246933
79217515.008000,-68.917099
79564657.280000,-69.0054398
79911799.552000,-69.2438507
80258941.824000,-68.9136047
80606084.096000,-68.8011322
80953226.368000,-68.6771851
81300368.640000,-69.0679932
81647510.912000,-69.1199875
81994653.184000,-68.9606247
82341795.456000,-68.2789001
82688937.728000,-68.9419022
83036080.000000,-68.7438354
83383222.272000,-68.3297043
83730364.544000,-68.4955978
84077506.816000,-68.3321075
84424649.088000,-68.0401917
84771791.360000,-67.7750092
85118933.632000,-67.64431
85466075.904000,-67.5734329
85813218.176000,-67.4396362
86160360.448000,-67.1716843
86507502.720000,-66.6964188
86854644.992000,-65.9894409
87201787.264000,-65.3687897
87548929.536000,-64.9587555
87896071.808000,-64.6120911
88243214.080000,-64.4883652
88590356.352000,-63.9195709
88937498.624000,-63.8549232
89284640.896000,-63.5483055
89631783.168000,-63.163311
89978925.440000,-62.8082771
90326067.712000,-62.9262238
90673209.984000,-63.0944443
91020352.256000,-63.5202789
91367494.528000,-63.8876877
91714636.800000,-64.1814651
92061779.072000,-64.0923386
92408921.344000,-64.2958832
92756063.616000,-64.9970932
93103205.888000,-64.654007
93450348.160000,-65.3356094
93797490.432000,-65.3699112
94144632.704000,-65.4159622
94491774.976000,-66.0924683
94838917.248000,-66.4507675
95186059.520000,-67.2966232
95533201.792000,-67.6676483
95880344.064000,-68.1777954
96227486.336000,-69.070282
96574628.608000,-68.2706528
96921770.880000,-69.762558
97268913.152000,-69.1680298
97616055.424000,-68.7623672
97963197.696000,-68.8341446
98310339.968000,-68.5714874
98657482.240000,-68.6159515
99004624.512000,-68.4190445
99351766.784000,-68.3918152
99698909.056000,-68.3493805
100046051.328000,-68.0188217
100393193.600000,-67.8050613
100740335.872000,-67.5041122
101087478.144000,-67.085701
101434620.416000,-67.5204926
101781762.688000,-67.1869507
102128904.960000,-66.6154938
102476047.232000,-65.8366013
102823189.504000,-65.4533081
103170331.776000,-64.8788681
103517474.048000,-64.0845642
103864616.320000,-63.4752655
104211758.592000,-62.8464813
104558900.864000,-61.6952324
104906043.136000,-61.2691956
105253185.408000,-60.0517082
105600327.680000,-58.8114319
105947469.952000,-57.5897102
106294612.224000,-56.403511
106641754.496000,-55.1690521
106988896.768000,-54.0990334
107336039.040000,-53.0796738
107683181.312000,-52.1820793
108030323.584000,-51.5510902
108377465.856000,-51.2286873
108724608.128000,-51.1693039
109071750.400000,-51.1451187
109418892.672000,-51.4188271
109766034.944000,-51.6525993
110113177.216000,-51.8550377
110460319.488000,-52.0977554
110807461.760000,-52.4856796
111154604.032000,-52.7287407
111501746.304000,-52.8813057
111848888.576000,-53.1211243
112196030.848000,-53.4278145
112543173.120000,-53.5522461
112890315.392000,-53.7474403
113237457.664000,-54.0630379
113584599.936000,-54.2544479
113931742.208000,-54.3017502
114278884.480000,-54.5097313
114626026.752000,-54.6627846
114973169.024000,-54.8077354
115320311.296000,-55.1063499
115667453.568000,-55.2380028
116014595.840000,-55.3432083
116361738.112000,-55.6580048
116708880.384000,-55.568306
117056022.656000,-55.9374313
117403164.928000,-56.1917839
117750307.200000,-56.1882553
118097449.472000,-56.3801613
118444591.744000,-56.4097862
118791734.016000,-56.6274643
119138876.288000,-56.6240196
119486018.560000,-56.8626175
119833160.832000,-57.1479874
120180303.104000,-57.2749634
120527445.376000,-57.5159569
120874587.648000,-57.8175621
121221729.920000,-57.951931
121568872.192000,-58.5860634
121916014.464000,-58.878952
122263156.736000,-59.1641808
122610299.008000,-59.8692589
122957441.280000,-60.2643738
123304583.552000,-60.7800522
123651725.824000,-61.2739906
123998868.096000,-61.7259026
124346010.368000,-62.012516
124693152.640000,-62.0245895
125040294.912000,-59.876873
125387437.184000,-62.0690651
125734579.456000,-62.5123596
126081721.728000,-62.6603012
126428864.000000,-62.7035904
126776006.272000,-62.3273277
127123148.544000,-62.4743729
127470290.816000,-61.8620567
127817433.088000,-61.9018936
128164575.360000,-61.7056427
128511717.632000,-61.7230721
128858859.904000,-61.7835159
129206002.176000,-61.1846352
129553144.448000,-61.0646973
129900286.720000,-61.0431747
130247428.992000,-60.7072563
130594571.264000,-60.684536
130941713.536000,-60.4521484
131288855.808000,-60.4981804
131635998.080000,-60.7205696
131983140.352000,-60.743557
132330282.624000,-61.0957298
132677424.896000,-61.2850456
133024567.168000,-62.1187134
133371709.440000,-62.4241982
133718851.712000,-63.0285072
134065993.984000,-63.6394539
134413136.256000,-64.0293503
134760278.528000,-64.5284805
135107420.800000,-65.0251923
135454563.072000,-65.3393784
135801705.344000,-65.6864319
136148847.616000,-65.7050171
136495989.888000,-66.698967
136843132.160000,-66.380661
137190274.432000,-67.0809326
137537416.704000,-66.5316315
137884558.976000,-66.6778336
138231701.248000,-66.6237106
138578843.520000,-66.8094406
138925985.792000,-66.961174
139273128.064000,-66.1197128
139620270.336000,-66.6657257
139967412.608000,-66.6968231
140314554.880000,-66.1557999
140661697.152000,-66.2757568
141008839.424000,-65.972023
141355981.696000,-65.565567
141703123.968000,-65.2447281
142050266.240000,-65.0474701
142397408.512000,-64.8298645
142744550.784000,-64.6899796
143091693.056000,-65.0439911
143438835.328000,-64.3311462
143785977.600000,-64.7030029
144133119.872000,-64.3990707
144480262.144000,-64.3815384
144827404.416000,-64.9608688
145174546.688000,-64.7722092
145521688.960000,-64.5023804
145868831.232000,-64.7741165
146215973.504000,-65.4535904
146563115.776000,-65.4490967
146910258.048000,-66.216011
147257400.320000,-66.1310501
147604542.592000,-66.529129
147951684.864000,-66.9177017
148298827.136000,-67.3246155
148645969.408000,-68.2195282
148993111.680000,-67.9539795
149340253.952000,-68.5979156
149687396.224000,-68.6525421
150034538.496000,-66.5474396
150381680.768000,-69.1836014
150728823.040000,-69.8584595
151075965.312000,-71.1065063
151423107.584000,-71.5270004
151770249.856000,-72.4069748
152117392.128000,-71.8067093
152464534.400000,-72.0864944
152811676.672000,-72.236908
153158818.944000,-72.8830109
153505961.216000,-73.4730911
153853103.488000,-73.5889664
154200245.760000,-73.9105072
154547388.032000,-73.652832
154894530.304000,-74.1294785
155241672.576000,-73.9365158
155588814.848000,-73.5824051
155935957.120000,-73.4693069
156283099.392000,-75.1705322
156630241.664000,-74.2900391
156977383.936000,-73.3584366
157324526.208000,-73.3562317
157671668.480000,-73.5488358
158018810.752000,-73.5480804
158365953.024000,-72.4444885
158713095.296000,-72.6123886
159060237.568000,-72.2651062
159407379.840000,-71.4775772
159754522.112000,-71.9151993
160101664.384000,-71.113205
160448806.656000,-70.6181335
160795948.928000,-70.0033798
161143091.200000,-70.0524445
161490233.472000,-69.7702637
161837375.744000,-69.7600174
162184518.016000,-69.5438156
162531660.288000,-68.9968872
162878802.560000,-68.5145264
163225944.832000,-69.0834503
163573087.104000,-68.8792267
163920229.376000,-68.6175003
164267371.648000,-67.8524704
164614513.920000,-68.1582947
164961656.192000,-67.4793015
165308798.464000,-67.0172806
165655940.736000,-66.8782425
166003083.008000,-66.7918549
166350225.280000,-66.4056168
166697367.552000,-66.2560425
167044509.824000,-65.8917542
167391652.096000,-65.9833069
167738794.368000,-65.5031815
168085936.640000,-65.9005356
168433078.912000,-64.9251404
168780221.184000,-64.6472931
169127363.456000,-64.6041183
169474505.728000,-64.3503952
169821648.000000,-64.0400238
170168790.272000,-63.5405312
170515932.544000,-63.4841423
170863074.816000,-63.2241173
171210217.088000,-62.6642303
171557359.360000,-62.5911331
171904501.632000,-62.1234512
172251643.904000,-61.7665367
172598786.176000,-61.1910896
172945928.448000,-61.0387802
173293070.720000,-60.9556084
173640212.992000,-60.3115578
173987355.264000,-59.9082069
174334497.536000,-59.3993645
174681639.808000,-59.3426971
175028782.080000,-58.8125
175375924.352000,-58.4047165
175723066.624000,-58.3047485
176070208.896000,-58.043663
176417351.168000,-57.5994873
176764493.440000,-57.5016365
177111635.712000,-57.4934959
177458777.984000,-57.2874832
177805920.256000,-56.9579391
178153062.528000,-56.9291687
178500204.800000,-56.7343674
178847347.072000,-56.6148262
179194489.344000,-56.3715439
179541631.616000,-56.4588852
179888773.888000,-56.4316864
180235916.160000,-56.2726021
180583058.432000,-56.2583618
180930200.704000,-56.292942
181277342.976000,-56.3575668
181624485.248000,-56.3120003
181971627.520000,-56.3273735
182318769.792000,-56.1285782
182665912.064000,-56.4463921
183013054.336000,-56.3573189
183360196.608000,-56.3612099
183707338.880000,-56.5613289
184054481.152000,-56.5906982
184401623.424000,-56.6452255
184748765.696000,-56.7546616
185095907.968000,-56.8097687
185443050.240000,-56.8859749
185790192.512000,-57.0485382
186137334.784000,-57.4795723
186484477.056000,-57.3972321
186831619.328000,-57.8256111
187178761.600000,-58.16679
187525903.872000,-58.3419266
187873046.144000,-58.5941391
188220188.416000,-58.7048416
188567330.688000,-59.1041985
188914472.960000,-59.6828423
189261615.232000,-59.6348534
189608757.504000,-59.7532158
189955899.776000,-59.9909973
190303042.048000,-60.0968742
190650184.320000,-60.1952896
190997326.592000,-60.0229721
191344468.864000,-59.9819756
191691611.136000,-59.8737793
192038753.408000,-59.7865868
192385895.680000,-59.2255745
192733037.952000,-58.9244003
193080180.224000,-58.2631683
193427322.496000,-57.7847061
193774464.768000,-57.3419685
194121607.040000,-56.5085983
194468749.312000,-56.0171814
194815891.584000,-55.4274139
195163033.856000,-54.5516472
195510176.128000,-53.8712997
195857318.400000,-53.0338287
196204460.672000,-52.1814842
196551602.944000,-51.4371147
196898745.216000,-50.6678848
197245887.488000,-49.8081779
197593029.760000,-48.9700584
197940172.032000,-48.109375
198287314.304000,-47.4985008
198634456.576000,-46.7321129
198981598.848000,-46.0972481
199328741.120000,-45.6349182
199675883.392000,-45.2806473
200023025.664000,-45.0093117
200370167.936000,-44.8456001
200717310.208000,-44.8162155
201064452.480000,-44.8173447
201411594.752000,-44.9630775
201758737.024000,-45.0111122
202105879.296000,-45.1888351
202453021.568000,-45.4178619
202800163.840000,-45.5608864
203147306.112000,-45.7294846
203494448.384000,-45.928936
203841590.656000,-46.0533485
204188732.928000,-46.1516075
204535875.200000,-46.352375
204883017.472000,-46.5005455
205230159.744000,-46.6135521
205577302.016000,-46.7030029
205924444.288000,-46.8169136
206271586.560000,-46.9872665
206618728.832000,-47.0985527
206965871.104000,-47.2530479
207313013.376000,-47.2971764
207660155.648000,-47.4819221
208007297.920000,-47.5267487
208354440.192000,-47.7441177
208701582.464000,-47.8551788
209048724.736000,-48.0021095
209395867.008000,-48.1681633
209743009.280000,-48.3374176
210090151.552000,-48.5325508
210437293.824000,-48.6137695
210784436.096000,-48.8881569
211131578.368000,-49.1210556
211478720.640000,-49.2553024
211825862.912000,-49.5283394
212173005.184000,-49.695179
212520147.456000,-49.9511108
212867289.728000,-50.1951523
213214432.000000,-50.3924904
213561574.272000,-50.6940804
213908716.544000,-50.866436
214255858.816000,-51.1452332
214603001.088000,-51.3964958
214950143.360000,-51.7445717
215297285.632000,-52.0366669
215644427.904000,-52.2045593
215991570.176000,-52.6116219
216338712.448000,-52.9421768
216685854.720000,-53.232708
217032996.992000,-53.712883
217380139.264000,-54.1446495
217727281.536000,-54.4979744
218074423.808000,-54.8689194
218421566.080000,-55.6134338
218768708.352000,-56.0297737
219115850.624000,-56.585125
219462992.896000,-57.2372398
219810135.168000,-58.1365738
220157277.440000,-58.602684
220504419.712000,-58.8596153
220851561.984000,-59.2494698
221198704.256000,-59.3453979
221545846.528000,-58.5789223
221892988.800000,-57.8098068
222240131.072000,-56.5627365
222587273.344000,-55.4318695
222934415.616000,-54.304615
223281557.888000,-53.3091774
223628700.160000,-52.1415062
223975842.432000,-51.1138992
224322984.704000,-50.1946564
224670126.976000,-49.4722404
225017269.248000,-48.6835899
225364411.520000,-48.0105972
225711553.792000,-47.3867645
226058696.064000,-46.8257523
226405838.336000,-46.2700233
226752980.608000,-45.831028
227100122.880000,-45.2891541
227447265.152000,-44.9626198
227794407.424000,-44.520977
228141549.696000,-44.1250381
228488691.968000,-43.7915993
228835834.240000,-43.5321999
229182976.512000,-43.1499443
229530118.784000,-42.8884163
229877261.056000,-42.6391602
230224403.328000,-42.3219528
230571545.600000,-42.0707436
230918687.872000,-41.8680191
231265830.144000,-41.61726
231612972.416000,-41.346344
231960114.688000,-41.1954918
232307256.960000,-41.0355835
232654399.232000,-40.8057404
233001541.504000,-40.6622238
233348683.776000,-40.5107689
233695826.048000,-40.4070473
234042968.320000,-40.2506485
234390110.592000,-40.148468
234737252.864000,-40.1008148
235084395.136000,-40.0007515
235431537.408000,-39.9262543
235778679.680000,-39.9032936
236125821.952000,-39.9382935
236472964.224000,-39.9365845
236820106.496000,-39.9184418
237167248.768000,-39.9653168
237514391.040000,-40.0270767
237861533.312000,-40.0642815
238208675.584000,-40.1706467
238555817.856000,-40.2761497
238902960.128000,-40.4245682
239250102.400000,-40.4902229
239597244.672000,-40.6730003
239944386.944000,-40.8796844
240291529.216000,-41.0457001
240638671.488000,-41.2763557
240985813.760000,-41.5096626
241332956.032000,-41.7500458
241680098.304000,-41.9864731
242027240.576000,-42.2840729
242374382.848000,-42.5683594
242721525.120000,-42.9124756
243068667.392000,-43.1870651
